GO	obs	exp	oddsratio	p_val	pval_adj
apical protein localization	24	3.830959515460631	6.264749053897079	5.341036690088237e-12	8.187809245905267e-09
ventricular septum development	30	6.163303876998519	4.867519207021441	6.577885922192531e-12	1.0077321232798958e-08
lysosomal membrane	69	26.359864566634798	2.617615876802997	7.270540477890457e-12	1.113119747165029e-08
steroid metabolic process	36	9.04243825953951	3.981227072468097	1.564229007758119e-11	2.393270381869922e-08
serine-type endopeptidase inhibitor activity	31	6.840039348897819	4.532137670376887	1.7064537101646017e-11	2.609167722841676e-08
regulation of centrosome duplication	25	4.429323824047985	5.644202364313105	1.716294342927505e-11	2.622497755993228e-08
cell-cell adhesion	45	13.494497786711717	3.334692458456093	1.7673787003226926e-11	2.6987872753927515e-08
forebrain development	31	6.871297304433369	4.511520696390005	1.9051283914738794e-11	2.90722592538914e-08
cholesterol metabolic process	36	9.238866275887464	3.8965819966413493	2.786907996816831e-11	4.250034695145667e-08
extracellular exosome	300	193.4420858419426	1.5508517636907804	3.9401496387814413e-11	6.004788049502916e-08
anchored component of external side of plasma membrane	21	3.209557771779308	6.542957470542138	4.986740694651245e-11	7.594806077953846e-08
telomerase activity	16	1.6888420730939504	9.473946827182058	5.316060956666539e-11	8.091044776046472e-08
RNA-dependent DNA biosynthetic process	16	1.6888420730939504	9.473946827182058	5.316060956666539e-11	8.091044776046472e-08
endosome	110	54.174073092095334	2.030491593515614	5.6536712936503447e-11	8.593580366348524e-08
extracellular vesicle	31	7.2799977281440365	4.258243087103702	7.601370532783589e-11	1.1546481839298272e-07
Golgi to endosome transport	20	2.992308171576485	6.683803556724936	9.833831533052051e-11	1.4927756267173013e-07
negative regulation of endopeptidase activity	37	10.342531626840275	3.5774606580829755	1.5291766838615603e-10	2.3197610294179871e-07
microtubule minus-end	14	1.3031902704812988	10.742867190705368	1.7044901488217238e-10	2.584007065613733e-07
regulation of TOR signaling	21	3.484695807122834	6.026350982222121	2.128544566244827e-10	3.224745017860913e-07
anion transmembrane transporter activity	8	0.2335971955218817	34.24698649368253	2.5128741007760155e-10	3.804491388574887e-07
sodium:bicarbonate symporter activity	8	0.2335971955218817	34.24698649368253	2.5128741007760155e-10	3.804491388574887e-07
inorganic anion exchanger activity	8	0.2335971955218817	34.24698649368253	2.5128741007760155e-10	3.804491388574887e-07
peptidase inhibitor activity	31	7.764906903315517	3.9923208849758893	3.4664287903173067e-10	5.23777390216945e-07
anatomical structure development	14	1.4488687885222318	9.662710737443138	6.442014262904921e-10	9.72744153698643e-07
negative regulation of cellular component movement	21	3.7397874109785243	5.615292446397454	7.279387141269141e-10	1.0984595196175134e-06
Rho protein signal transduction	27	6.215360253365004	4.344076433121019	7.825159646830026e-10	1.180034074741968e-06
isopeptide cross-linking via N6-(L-isoglutamyl)-L-lysine	10	0.5833865886970439	17.14129223013911	9.217963689671715e-10	1.3891471280335273e-06
Golgi membrane	99	49.50166371981177	1.9999327812567598	9.31790398857574e-10	1.4032763406795067e-06
single-stranded DNA-dependent ATP-dependent DNA helicase activity	9	0.42654738645713464	21.099648680896195	1.1153376818996101e-09	1.6785832112589133e-06
regulation of DNA double-strand break processing	9	0.42654738645713464	21.099648680896195	1.1153376818996101e-09	1.6785832112589133e-06
DNA replication	9	0.42654738645713464	21.099648680896195	1.1153376818996101e-09	1.6785832112589133e-06
ATP-dependent 5'-3' DNA helicase activity	9	0.4287929788945548	20.98914964326691	1.1655478848542706e-09	1.7506529230511145e-06
regulation of microtubule polymerization	14	1.529563803916187	9.152936258138032	1.2652359998047043e-09	1.8991192357068612e-06
negative regulation of peptidase activity	31	8.232221912810225	3.765690518104311	1.3358788883493553e-09	2.003818332524033e-06
lipid metabolic process	99	49.917508729756534	1.9832720526171752	1.398067884830277e-09	2.095703759360585e-06
homeostatic process	21	4.062126182294803	5.169706468383644	3.003616810625871e-09	4.499417982317555e-06
endoplasmic reticulum	174	105.47669564214125	1.6496534987249025	3.2420190762823658e-09	4.853302557194701e-06
regulation of actin cytoskeleton organization	18	3.0207450371215803	5.958794859811112	4.678055405985234e-09	6.99837088735391e-06
regulation of ERK1 and ERK2 cascade	25	5.959073420422431	4.195283097926285	6.263944981895183e-09	9.3645977479333e-06
mammary gland development	18	3.0901946012388093	5.824875880885977	6.57615940624974e-09	9.824782152937112e-06
inositol hexakisphosphate 6-kinase activity	7	0.23599207846895634	29.662012578616352	8.549339799525574e-09	1.2764164320691682e-05
U5 snRNP	16	2.4909056935496885	6.423366425084946	1.1829880589445497e-08	1.765018183945268e-05
snRNA-activating protein complex	12	1.2823987371494203	9.357463987116985	1.4749258080455957e-08	2.199114379795983e-05
muscle organ development	30	8.662822921492666	3.4630743663903485	1.5054578515336393e-08	2.2431321987851227e-05
regulation of cholesterol biosynthetic process	20	4.06918436837116	4.914989882359578	1.581603252893017e-08	2.355007243557702e-05
precatalytic spliceosome	17	2.941963584049933	5.778453578476199	1.9022106377935137e-08	2.8304894290367483e-05
inner ear morphogenesis	18	3.35236564241656	5.369342703030646	2.2011225290059643e-08	3.273069200631869e-05
anterior/posterior pattern specification	21	4.66238480871265	4.504132726401533	3.0117808672273914e-08	4.4755063686999035e-05
biosynthetic process	19	3.836413403832095	4.952542387903605	3.1625256401792225e-08	4.6963505756661456e-05
Golgi lumen	32	10.050758930285948	3.183839172937917	3.4319841447288034e-08	5.093064470777544e-05
hepatocyte growth factor receptor signaling pathway	13	1.7077514707505286	7.612348882526048	3.984935297670568e-08	5.909659046445452e-05
basolateral plasma membrane	43	16.325935320228282	2.6338460343354306	4.0383883578429157e-08	5.984891546323201e-05
regulation of dendritic spine development	9	0.6668617894455544	13.496049919853446	4.613823845830662e-08	6.83307311567521e-05
regulation of small GTPase mediated signal transduction	49	20.15985155659405	2.4305734525100053	5.531009222462048e-08	8.185893649243831e-05
Wnt signaling pathway	19	4.02693048319289	4.71823392017813	6.595972934277876e-08	9.755443969796979e-05
protein disulfide oxidoreductase activity	17	3.2289148436271864	5.264926708597595	6.990550971852776e-08	0.00010332034336398404
male gonad development	31	9.84872042120713	3.147617017663338	7.057260672150806e-08	0.0001042357401276674
telomerase holoenzyme complex	16	2.8608456303998775	5.592751957666302	7.542292311554207e-08	0.00011132423451854009
sarcolemma	32	10.492237120677489	3.0498738859929375	8.806767119562662e-08	0.00012989981501354927
inositol hexakisphosphate kinase activity	7	0.34389750505731626	20.354901960784314	1.0016893535557194e-07	0.00014764901071411305
inositol-1	7	0.34389750505731626	20.354901960784314	1.0016893535557194e-07	0.00014764901071411305
inositol hexakisphosphate 3-kinase activity	7	0.34389750505731626	20.354901960784314	1.0016893535557194e-07	0.00014764901071411305
inositol 5-diphosphate pentakisphosphate 5-kinase activity	7	0.34389750505731626	20.354901960784314	1.0016893535557194e-07	0.00014764901071411305
inositol hexakisphosphate 1-kinase activity	7	0.34389750505731626	20.354901960784314	1.0016893535557194e-07	0.00014764901071411305
inositol hexakisphosphate 5-kinase activity	7	0.34389750505731626	20.354901960784314	1.0016893535557194e-07	0.00014764901071411305
inositol diphosphate tetrakisphosphate kinase activity	7	0.34389750505731626	20.354901960784314	1.0016893535557194e-07	0.00014764901071411305
inositol heptakisphosphate kinase activity	7	0.34389750505731626	20.354901960784314	1.0016893535557194e-07	0.00014764901071411305
transcription factor activity	12	1.5494522906460042	7.744672147986505	1.09085015773811e-07	0.00015991863312440693
cell projection	163	103.08355640796069	1.581241525611666	1.1007840718555327e-07	0.00016126486652683555
cognition	21	5.0971850217578405	4.1199210761154275	1.2825758435228856e-07	0.00018776910349175045
negative regulation of protein kinase B signaling	21	5.146507364149277	4.080437180812491	1.496609183330534e-07	0.00021895392352125714
snRNA transcription	12	1.6123014890531604	7.442776727228055	1.651922637262954e-07	0.0002415110895678439
anion transport	8	0.572884634145307	13.964417132491763	1.9966203391688753e-07	0.00029170623155257266
lamellipodium membrane	11	1.3505662416435862	8.144731936001474	2.2425625833028414e-07	0.00032741413716221485
snRNA transcription from RNA polymerase III promoter	13	1.9994679134849969	6.501729741359786	2.3231010078920843e-07	0.0003389404370514551
membrane organization	35	12.813622936874008	2.7314679206986674	2.944876326673437e-07	0.00042936296842898715
establishment or maintenance of cell polarity	16	3.208522456101095	4.986719033109946	3.3726127458054315e-07	0.0004913896770638513
regulation of cell growth by extracellular stimulus	10	1.1469860671284084	8.718501720806405	4.3083209132378275e-07	0.0006272915249674277
alpha DNA polymerase:primase complex	9	0.8780391230752044	10.250112738119013	4.3805449324729966e-07	0.000637369287674821
hydrolase activity	20	5.04658245508566	3.963078019233617	4.530841627952164e-07	0.0006587843727042446
microvillus membrane	16	3.3409040693886567	4.789122844502326	5.668412805665795e-07	0.00082362038066324
tissue remodeling	12	1.8906935181922766	6.346877420658531	8.514667205523264e-07	0.001236329678241978
endocytic vesicle membrane	20	5.371902396964016	3.7230758346062283	1.1548865392940256e-06	0.0016757403685156312
behavioral response to cocaine	9	0.990390367457075	9.087325862334858	1.1557593593953468e-06	0.0016758510711232528
low-density lipoprotein particle binding	17	4.0881485239146516	4.158361639885203	1.6835696019072314e-06	0.0024394923531635784
protein dimerization activity	41	17.625736293611237	2.3261439588688946	1.7406428585691756e-06	0.0025204508592081665
ATP-dependent RNA helicase activity	24	7.615524011730704	3.151457465439172	1.8791492081635463e-06	0.0027191289042126517
detection of mechanical stimulus	12	2.0478934549998513	5.859679843549708	1.9087032292065373e-06	0.002759984869432653
glycosaminoglycan metabolic process	18	4.5994267805734745	3.9135311548009226	1.9535435550160955e-06	0.002822870436998258
regulation of cell morphogenesis	14	2.8689555180499076	4.879824699936829	2.26233364614764e-06	0.0032668097850371922
acrosomal vesicle	26	8.848836168117105	2.9382395047248795	2.5155462316041585e-06	0.0036299332122048007
acrosome reaction	13	2.554024957354492	5.090005077109994	3.2834784549245817e-06	0.004734775932001247
protein phosphatase inhibitor activity	17	4.312645085584552	3.9418963681533183	3.3702458675471375e-06	0.004856524295135425
telomerase RNA binding	16	3.8571792888291947	4.148108968213564	3.444534162043828e-06	0.004960129193343112
4-hydroxyphenylpyruvate dioxygenase activity	6	0.38685726887691346	15.509596129390612	3.7693492135337724e-06	0.005424093518275099
cytosolic dipeptidase activity	4	0.09456651712645336	42.29826921352345	3.8777588535615575e-06	0.00557621723142152
alanylglutamate dipeptidase activity	4	0.09456651712645336	42.29826921352345	3.8777588535615575e-06	0.00557621723142152
catalytic step 2 spliceosome	17	4.362042868723745	3.897256517557768	3.901812219517082e-06	0.00560300234722653
podosome assembly	7	0.6159740975864945	11.364114217509067	4.319207258408122e-06	0.006198062415815654
melanosome	19	5.400009359962901	3.5185124197878306	4.62721076034113e-06	0.006635420230329181
regulation of glutamate uptake involved in transmission of nerve impulse	8	0.8988268301788602	8.900490874764003	5.2251822707289276e-06	0.007487686193954553
endosome membrane	39	17.25211240434699	2.2605927370478547	5.735917090792665e-06	0.008213833274015096
lactate biosynthetic process	8	0.9168137387998914	8.725872727945804	6.015766081148617e-06	0.00860856126212367
collagen trimer	36	15.37285697158614	2.3417898225775007	6.049675468849591e-06	0.008651035920454915
interleukin-27 receptor activity	6	0.42735320645673874	14.039908696946641	6.54294247467374e-06	0.009349864796308775
negative regulation of fat cell proliferation	8	0.9280557633592644	8.6201716705498	6.559461104578654e-06	0.009366910457338317
locomotory behavior	19	5.545982929257687	3.42590308018548	6.6807718206440655e-06	0.009533461388059081
response to UV-B	10	1.5783761836113073	6.335625248171263	6.902406279861617e-06	0.009842831355082666
retina layer formation	9	1.2421148218294151	7.245706952232157	6.941716630870485e-06	0.00989194619899044
pointed-end actin filament capping	7	0.6677016657546797	10.483724032780637	7.204895794673763e-06	0.010259771611615438
negative regulation of phosphatase activity	24	8.295979722433763	2.8929675340333647	7.607062047624795e-06	0.010824849293770084
tRNA-intron endonuclease complex	7	0.6856946520200385	10.208625631508403	8.523478469151909e-06	0.012120386383134014
tRNA-intron endonuclease activity	7	0.6856946520200385	10.208625631508403	8.523478469151909e-06	0.012120386383134014
tRNA-type intron splice site recognition and cleavage	7	0.6856946520200385	10.208625631508403	8.523478469151909e-06	0.012120386383134014
fatty acid biosynthetic process	20	6.32619760840167	3.1614567293058444	1.2179312635561922e-05	0.017282444629862368
regulation of intracellular pH	11	2.0739067674280376	5.3039992794091155	1.2513689439303076e-05	0.01774441162493176
biotin-propionyl-CoA-carboxylase (ATP-hydrolyzing) ligase activity	6	0.4858509771986971	12.349465744814582	1.3266598431591188e-05	0.018798769977564713
biotin-protein ligase activity	6	0.4858509771986971	12.349465744814582	1.3266598431591188e-05	0.018798769977564713
biotin-methylcrotonoyl-CoA-carboxylase ligase activity	6	0.4858509771986971	12.349465744814582	1.3266598431591188e-05	0.018798769977564713
protein biotinylation	6	0.4858509771986971	12.349465744814582	1.3266598431591188e-05	0.018798769977564713
biotin-methylmalonyl-CoA-carboxytransferase ligase activity	6	0.4858509771986971	12.349465744814582	1.3266598431591188e-05	0.018798769977564713
response to biotin	6	0.4858509771986971	12.349465744814582	1.3266598431591188e-05	0.018798769977564713
biotin-acetyl-CoA-carboxylase ligase activity	6	0.4858509771986971	12.349465744814582	1.3266598431591188e-05	0.018798769977564713
histone biotinylation	6	0.4858509771986971	12.349465744814582	1.3266598431591188e-05	0.018798769977564713
equatorial microtubule organizing center	9	1.3590140026225743	6.622448321085829	1.3954972045080516e-05	0.019662555611518445
interphase microtubule nucleation by interphase microtubule organizing center	9	1.3590140026225743	6.622448321085829	1.3954972045080516e-05	0.019662555611518445
oxidoreductase activity	6	0.49485101594177494	12.124861436489343	1.4672562756672811e-05	0.020644295798638645
Rac guanyl-nucleotide exchange factor activity	12	2.5488952559993656	4.707921979828498	1.6406433830654996e-05	0.023067445965900924
white fat cell differentiation	9	1.3949864412390034	6.451675610557442	1.706453533684986e-05	0.023975672148274053
dermatan sulfate biosynthetic process	9	1.4107248951784936	6.379698856070208	1.8599773802914034e-05	0.026114082419291303
negative regulation of apoptotic process	65	36.57035690719024	1.7773958335971312	1.895142424138401e-05	0.026588848210661764
astrocyte activation	7	0.8004095092111292	8.745523284573528	2.2490632581191483e-05	0.03153186687883046
microtubule nucleation	9	1.4646876750621027	6.144654695492266	2.4786953206416017e-05	0.03472652144218884
spectrin binding	16	4.558055874473785	3.510268509344931	2.561539865096245e-05	0.035861558111347426
nuclear lamina	6	0.5511035644048699	10.887245860003334	2.6430866675611854e-05	0.036976782479180986
condensin core heterodimer	7	0.8274036449200766	8.460199617172545	2.7642133577754368e-05	0.038643702741700606
membrane	740	603.3855118747426	1.2264132721728613	2.8494718860306797e-05	0.039807122247848596
tRNA transcription	4	0.16212090372481172	24.67294413057125	2.8892316425415174e-05	0.04033367372987958
multicellular organism development	149	103.30970511413105	1.4422652725161953	2.970435979131701e-05	0.04143758190888723
