GO	U	pval	pval_adj
palate development	51262.5	0.9999887336178468	1.0
dioxygenase activity	106106.0	0.273733400185188	1.0
positive regulation of protein targeting to mitochondrion	85608.0	0.7283212441626064	1.0
small GTPase mediated signal transduction	89051.5	0.9853067821117013	1.0
trans-Golgi network	105041.0	0.9977775945369485	1.0
negative regulation of inflammatory response	114379.5	0.20552717501190837	1.0
negative regulation of neuron apoptotic process	120857.5	0.9741458340959064	1.0
phagocytic vesicle	82875.5	0.8150282252794192	1.0
neuron differentiation	81004.5	0.9999999931912309	1.0
nuclear chromosome	122301.0	0.5449610210651497	1.0
transcription factor complex	129219.0	0.999999999997581	1.0
condensed chromosome kinetochore	126516.0	0.13414761927560725	1.0
neural tube closure	86157.0	0.9538733228977436	1.0
locomotory behavior	99347.0	0.8839055925553145	1.0
regulation of GTPase activity	86512.0	0.9156847664456863	1.0
regulation of small GTPase mediated signal transduction	126929.0	0.9518291312055531	1.0
visual perception	261608.0	0.05082553440708224	1.0
wound healing	130364.5	0.5675161409685368	1.0
Golgi lumen	119134.0	0.16159368270963476	1.0
transferase activity	164644.5	0.005282457526890917	1.0
anterior/posterior pattern specification	62137.0	0.9998376348824017	1.0
fibrillar center	94878.0	0.7926832317732599	1.0
cellular response to mechanical stimulus	104407.5	0.08388052401492208	1.0
kidney development	108118.0	0.6393980974074172	1.0
protein phosphatase binding	73564.5	0.9983416988344722	1.0
chloride transmembrane transport	96040.0	0.8358702352670382	1.0
chloride channel activity	81851.0	0.8425208976775882	1.0
mitochondrion organization	96182.5	0.6555321792798325	1.0
motor activity	83500.0	0.8691793113864099	1.0
chloride transport	101009.0	0.7783510444103876	1.0
protein N-terminus binding	86750.5	0.9478726344380036	1.0
microtubule motor activity	100270.5	0.3772421057915101	1.0
microtubule-based movement	117719.5	0.3907193158040756	1.0
kinase binding	87371.0	0.940952422316653	1.0
hemopoiesis	79296.0	0.898835758600276	1.0
axonogenesis	67204.0	0.9999731695639804	1.0
animal organ morphogenesis	90694.0	0.999344598957273	1.0
apical part of cell	112736.0	0.25438245942270254	1.0
response to oxidative stress	141191.0	0.21742425543096916	1.0
histone binding	103592.5	0.9413978000980169	1.0
transcriptional repressor activity	64521.5	0.9990231832713568	1.0
PML body	99074.5	0.7516997873304085	1.0
Rab GTPase binding	125270.0	0.7315618498362397	1.0
exocytosis	119077.5	0.819987823781533	1.0
presynapse	87464.0	0.6596681081620448	1.0
transporter activity	168645.0	0.09615140921157556	1.0
bicellular tight junction	128503.5	0.4272900549111157	1.0
structural molecule activity	190675.0	0.033550840997321876	1.0
ubiquitin ligase complex	100041.5	0.917686300352168	1.0
Ras protein signal transduction	78630.5	0.9715887500683267	1.0
basement membrane	107258.0	0.15180406354805304	1.0
phosphatidylinositol phosphorylation	119198.5	0.9482071293714691	1.0
ossification	105306.0	0.8141270955507347	1.0
platelet activation	117847.5	0.28345651245255754	1.0
chromatin	103719.0	0.8514956779790843	1.0
membrane organization	139757.5	0.8549871376814833	1.0
activation of GTPase activity	78030.0	0.9546447558382718	1.0
late endosome membrane	107814.5	0.8806471274188508	1.0
multicellular organism growth	85119.5	0.9946735828044727	1.0
RNA polymerase II regulatory region sequence-specific DNA binding	152284.5	0.9999999939103019	1.0
aging	157585.0	0.43640829543564846	1.0
post-translational protein modification	325276.0	0.9917756174045924	1.0
melanosome	143802.0	0.016490338430327166	1.0
cell	117979.0	0.016698194537511694	1.0
chromosome	422149.0	0.039913698553301936	1.0
P-body	62562.5	0.998831711779821	1.0
positive regulation of endothelial cell proliferation	73543.0	0.9701538304921524	1.0
ciliary basal body-plasma membrane docking	128544.0	0.097101216061452	1.0
regulation of G2/M transition of mitotic cell cycle	108289.5	0.20553760245742442	1.0
rRNA processing	153418.0	0.8598700951581439	1.0
DNA repair	424026.0	0.004367251479143481	1.0
DNA recombination	115436.5	0.10933100804467372	1.0
nucleic acid phosphodiester bond hydrolysis	130591.5	0.3553679733780596	1.0
nuclease activity	133276.5	0.46584065739233915	1.0
macromolecular complex assembly	115854.5	0.568246415787585	1.0
regulation of translation	103202.5	0.9999398845412221	1.0
positive regulation of protein kinase B signaling	174198.0	0.37674352932691374	1.0
phosphatidylinositol-4	94669.0	0.7985815004399577	1.0
single-stranded DNA binding	89650.5	0.7809711392837788	1.0
ubiquitin-dependent protein catabolic process	186147.5	0.9974638627057598	1.0
proteasome-mediated ubiquitin-dependent protein catabolic process	143289.5	0.9999851326430541	1.0
Wnt signaling pathway	50937.0	0.9999967682273322	1.0
phosphatidylinositol biosynthetic process	76373.5	0.9433877573504809	1.0
sister chromatid cohesion	129329.5	0.6029406511081468	1.0
chromosome	198333.0	0.2819432770786874	1.0
kinetochore	137672.5	0.4155452887171119	1.0
nucleotidyltransferase activity	96545.5	0.29171172911629895	1.0
cellular-component	389812.0	0.6324160609784059	1.0
post-embryonic development	103098.5	0.7985239801764887	1.0
histone deacetylase binding	88618.5	0.9999377089699133	1.0
protein C-terminus binding	212214.0	0.6154095888542351	1.0
protein heterooligomerization	80541.5	0.9562613260454856	1.0
negative regulation of protein kinase activity	123891.5	0.8374573236305686	1.0
protein kinase inhibitor activity	83677.0	0.7915633163292246	1.0
negative regulation of peptidase activity	116111.5	0.004440642935977112	1.0
negative regulation of endopeptidase activity	112541.5	0.02877006873773681	1.0
cell-cell junction	153224.0	0.9360590685969663	1.0
heart development	202608.0	0.9873807425899671	1.0
neuron projection	273121.0	0.99833053277359	1.0
ficolin-1-rich granule lumen	108418.5	0.5196877163872642	1.0
secretory granule lumen	139371.0	0.042290430587288715	1.0
growth factor activity	140479.5	0.70305482427976	1.0
positive regulation of angiogenesis	168936.0	0.008836543228922598	1.0
activation of cysteine-type endopeptidase activity involved in apoptotic process	120813.0	0.03877085650432027	1.0
guanyl-nucleotide exchange factor activity	170243.5	0.8058138225423072	1.0
positive regulation of canonical Wnt signaling pathway	73569.5	0.999999642906372	1.0
response to organic cyclic compound	106769.5	0.6864000986496366	1.0
cation transport	106745.5	0.09746640316183502	1.0
antigen processing and presentation of exogenous peptide antigen via MHC class II	79078.5	0.9028453710801676	1.0
RNA polymerase II proximal promoter sequence-specific DNA binding	263517.5	1.0	1.0
potassium ion transmembrane transport	129917.0	0.8815359321485554	1.0
regulation of transcription from RNA polymerase II promoter	466998.5	1.0	1.0
DNA binding transcription factor activity	514827.5	1.0	1.0
circadian rhythm	86111.0	0.9983685411782055	1.0
RNA polymerase II transcription factor activity	536079.0	1.0	1.0
negative regulation of transcription from RNA polymerase II promoter	567741.5	0.9999999999999993	1.0
transcriptional repressor activity	106356.0	0.9999940420665052	1.0
protein domain specific binding	226113.5	0.9999424110389985	1.0
negative regulation of transcription	395251.0	0.9999998962337973	1.0
transcription corepressor activity	137896.0	0.9999974284212637	1.0
rhythmic process	80822.0	0.999998855983292	1.0
protein heterodimerization activity	366202.5	0.9999960746080166	1.0
transcription	1247028.0	1.0	1.0
regulation of transcription	1294801.0	1.0	1.0
axon guidance	167375.0	0.9999752941964517	1.0
nervous system development	380999.5	0.9999999899353071	1.0
protein deubiquitination	198727.0	0.9999656778880519	1.0
thiol-dependent ubiquitin-specific protease activity	80834.0	0.8670111583960923	1.0
thiol-dependent ubiquitinyl hydrolase activity	82121.0	0.9390695134066929	1.0
cysteine-type peptidase activity	155033.0	0.17561910304187545	1.0
ubiquitin protein ligase binding	280299.5	0.9872253923930813	1.0
macroautophagy	85110.0	0.8926477653975001	1.0
ion channel binding	110745.5	0.8776474923250668	1.0
muscle contraction	96985.0	0.6252432105917305	1.0
synaptic vesicle	99419.5	0.9980626957324359	1.0
postsynaptic density	173955.0	0.9998516440871036	1.0
synapse	463345.5	0.9999992790789233	1.0
ligase activity	192758.0	0.03991912967947333	1.0
regulation of signal transduction by p53 class mediator	142221.0	0.8608815121917588	1.0
glucose homeostasis	125490.5	0.725138503661443	1.0
Wnt signaling pathway	146918.5	0.9999996143952309	1.0
chromatin organization	228357.5	0.9999994928075631	1.0
chromatin binding	284332.5	0.999999987026085	1.0
regulation of gene expression	148205.0	0.9998671316518898	1.0
cell cycle arrest	131141.0	0.8598471868050821	1.0
Golgi apparatus	1132450.5	0.9995868600783622	1.0
nuclear speck	304896.5	0.9999969025902092	1.0
autophagy	145685.0	0.8484378767325018	1.0
transmembrane signaling receptor activity	287027.5	0.09041423561057388	1.0
intracellular	978116.5	0.9999574844087814	1.0
multicellular organism development	873692.5	0.9999999999999941	1.0
positive regulation of GTPase activity	317583.5	0.9746884506324605	1.0
positive regulation of cell migration	187445.0	0.5031638391076495	1.0
positive regulation of peptidyl-tyrosine phosphorylation	94896.5	0.4747793020535599	1.0
regulation of cell shape	178230.0	0.2655437729560088	1.0
receptor binding	477122.0	0.003284408367867083	1.0
positive regulation of phosphatidylinositol 3-kinase signaling	97039.5	0.2740503403291619	1.0
protein ubiquitination	437132.0	0.9999999997578775	1.0
integral component of endoplasmic reticulum membrane	112022.0	0.27736178109814336	1.0
endoplasmic reticulum membrane	952399.5	0.019688469827318707	1.0
positive regulation of cell proliferation	454976.0	0.9248924707196131	1.0
translation	259605.0	0.17844902788647615	1.0
negative regulation of apoptotic process	458317.0	0.9622129365892242	1.0
G-protein coupled receptor signaling pathway	739469.5	0.896281725158866	1.0
focal adhesion	359601.5	0.9585359314713574	1.0
actin binding	324250.0	0.8025011511067486	1.0
cell junction	729142.0	0.9997329257536572	1.0
lysosomal membrane	338408.5	0.5907685985534147	1.0
lysosome	449354.5	0.018741995292096466	1.0
cytoplasmic vesicle	732389.5	0.6737857936166367	1.0
positive regulation of transcription from RNA polymerase II promoter	794610.0	1.0	1.0
spliceosomal complex	90434.5	0.9999987321789051	1.0
helicase activity	173407.5	0.11607032097388015	1.0
RNA splicing	195606.5	0.9999925765060519	1.0
mRNA splicing	129142.0	0.9999999973651799	1.0
nucleolus	790990.0	0.9166071307123347	1.0
cytoplasm	3805653.5	0.999998829718862	1.0
cytosol	3189421.0	0.9999999996394328	1.0
cell proliferation	344864.5	0.9350134923563219	1.0
metal ion binding	2601103.0	0.999653770504298	1.0
cell differentiation	777964.5	0.9999695420839143	1.0
nucleus	3052974.0	1.0	1.0
mRNA processing	280092.0	0.9999887754128481	1.0
apoptotic process	649676.0	0.5396518616510234	1.0
ATP binding	1426811.5	0.7229555915094963	1.0
protein binding	3707771.0	0.9999999999996849	1.0
RNA binding	1171443.5	0.9999546649516233	1.0
nucleotide binding	1590155.0	0.9959523655038879	1.0
nucleic acid binding	775315.0	0.9999999999992736	1.0
transcription factor binding	221699.5	0.9999999986407861	1.0
protein stabilization	124412.5	0.6705560798688186	1.0
protein kinase activity	503398.0	0.9998186325957693	1.0
protein serine/threonine kinase activity	363525.5	0.9999978378469414	1.0
actin filament binding	145651.5	0.34768486064563386	1.0
integrin binding	163282.0	0.08569687675832782	1.0
regulation of apoptotic process	264814.5	0.7136559293820885	1.0
peptidyl-serine phosphorylation	136136.5	0.9778361590531024	1.0
macromolecular complex	463770.5	0.9877673024601956	1.0
negative regulation of canonical Wnt signaling pathway	104802.5	0.9999806334463469	1.0
positive regulation of peptidyl-serine phosphorylation	96151.5	0.9605002831342271	1.0
positive regulation of apoptotic process	360780.0	0.9186475398194301	1.0
nucleoplasm	2103752.0	1.0	1.0
central nervous system development	108511.0	0.9945586772829711	1.0
positive regulation of protein phosphorylation	180441.0	0.5391768953248322	1.0
Z disc	113198.5	0.448881729610016	1.0
identical protein binding	915737.0	0.9252334809892141	1.0
protein dimerization activity	161324.5	0.9999999293512439	1.0
kinase activity	670149.0	0.9911566063706747	1.0
protein autophosphorylation	179038.5	0.924933870510706	1.0
magnesium ion binding	181011.5	0.9955637319191848	1.0
protein homodimerization activity	750723.5	0.44896096327384205	1.0
signal transduction	1627158.0	0.843398984974353	1.0
intracellular signal transduction	450192.0	0.9938405093202	1.0
transferase activity	1660950.5	0.6348870220798757	1.0
nuclear body	268769.5	0.995132900552203	1.0
phosphorylation	674409.0	0.9919352481655219	1.0
negative regulation of cell proliferation	452732.0	0.7842396291434868	1.0
protein phosphorylation	602751.0	0.9999417907512119	1.0
signal transducer activity	645988.5	0.9335852739364573	1.0
G-protein coupled receptor activity	510900.0	0.36310046350683167	1.0
transport vesicle	97390.5	0.3734398727985293	1.0
binding	361414.5	0.9623926175169094	1.0
cell division	373592.5	0.9563774417566258	1.0
cilium assembly	186748.5	0.5236489539352933	1.0
cell projection organization	173365.0	0.1712015047717239	1.0
ciliary basal body	132858.5	0.5811991306044826	1.0
cytoskeleton organization	157190.5	0.6318536514931044	1.0
recycling endosome	132879.5	0.7564532383486856	1.0
protein localization to plasma membrane	126756.0	0.3851401052704585	1.0
regulation of cell proliferation	259802.0	0.3553966349105565	1.0
peptidyl-tyrosine phosphorylation	185966.5	0.9095633828398214	1.0
axon	284296.5	0.993009236855818	1.0
transmembrane receptor protein tyrosine kinase signaling pathway	157564.0	0.2604493812716683	1.0
early endosome membrane	145220.0	0.9732257384811589	1.0
protein tyrosine kinase activity	180345.0	0.9107721675479203	1.0
endosome	653229.5	0.9732802923476159	1.0
isomerase activity	113638.5	0.022040192481644162	1.0
dephosphorylation	142462.5	0.6435234032991375	1.0
Notch signaling pathway	65730.0	0.9999855375885297	1.0
centrosome	507548.0	0.8177136174377284	1.0
microtubule organizing center	414969.0	0.6328211625826604	1.0
ribosome biogenesis	105376.0	0.40946081754717895	1.0
cytokine-mediated signaling pathway	359198.5	0.01998338804453476	1.0
regulation of mRNA stability	72663.5	0.9972377037437301	1.0
ubiquitin-protein transferase activity	306798.0	0.999770255381016	1.0
transcriptional activator activity	161172.0	1.0	1.0
neuropeptide signaling pathway	69213.5	0.9979451348854389	1.0
anatomical structure morphogenesis	92930.5	0.9999986579532231	1.0
cellular response to lipopolysaccharide	154955.0	0.005237615437355227	1.0
tumor necrosis factor-mediated signaling pathway	114330.5	0.8621551591348727	1.0
macromolecular complex binding	170313.0	0.929795225201538	1.0
G1/S transition of mitotic cell cycle	104985.5	0.8221091119464334	1.0
negative regulation of gene expression	199504.5	0.9123648319024247	1.0
response to ethanol	143285.5	0.06535315078875817	1.0
response to drug	267947.5	0.4383993098769263	1.0
cellular response to hypoxia	93476.5	0.6493013558839422	1.0
biological-process	501915.5	0.4216006529053462	1.0
chromatin remodeling	71376.5	0.9991961255170455	1.0
response to estradiol	99573.0	0.523125916027876	1.0
mRNA binding	98101.0	0.9999959765008599	1.0
positive regulation of gene expression	336293.5	0.9376352063077028	1.0
nuclear envelope	144879.0	0.9847459576722014	1.0
in utero embryonic development	164950.5	0.9996145067711225	1.0
MAPK cascade	227489.0	0.9998544519694934	1.0
nuclear chromatin	155975.0	0.9990002327680318	1.0
ion channel activity	145396.0	0.9900238429184953	1.0
endosome membrane	259885.5	0.09233171745014196	1.0
regulation of ion transmembrane transport	139326.0	0.6518855151379948	1.0
voltage-gated ion channel activity	124697.0	0.7478931609370554	1.0
ubiquitin protein ligase activity	164611.0	0.9999889881408623	1.0
positive regulation of cell growth	91761.5	0.7119762739393739	1.0
sequence-specific DNA binding	360576.5	1.0	1.0
double-stranded DNA binding	94464.5	0.9919428252549766	1.0
blood coagulation	212868.0	0.11526741647992933	1.0
intracellular ribonucleoprotein complex	259108.5	0.9214968409484959	1.0
RNA processing	113707.0	0.9821258982769492	1.0
neuron projection development	96303.5	0.9966321398114111	1.0
membrane raft	246394.0	0.2026708800224037	1.0
mitochondrial outer membrane	176190.5	0.17500508268870435	1.0
protein homooligomerization	180285.0	0.6273336072824202	1.0
positive regulation of cytosolic calcium ion concentration	136520.0	0.45494871290909666	1.0
GTPase activator activity	262412.0	0.9936729936420146	1.0
cytoskeleton	1254148.0	0.7403297790992766	1.0
zinc ion binding	718281.0	0.8786744338631272	1.0
metallopeptidase activity	261208.0	0.004154081403426278	1.0
metalloendopeptidase activity	158679.0	0.1625560695985539	1.0
proteinaceous extracellular matrix	475905.0	0.036549802327805914	1.0
heparin binding	203331.5	0.01001173958761965	1.0
ion transmembrane transport	289210.5	0.48047415581236413	1.0
Golgi membrane	543674.5	0.9999862828361397	1.0
transferase activity	238894.0	0.6608082674866416	1.0
perikaryon	93678.0	0.9587442612057422	1.0
calcium ion transport	128474.5	0.631589956014103	1.0
cell projection	901501.5	0.21426624967170022	1.0
calcium ion transmembrane transport	116590.5	0.541165480494351	1.0
ion transport	695669.0	0.014959103485670772	1.0
dendrite	336831.5	0.9996869189592669	1.0
cellular calcium ion homeostasis	122989.5	0.04776280500502611	1.0
dendritic spine	105853.5	0.9899116515023457	1.0
calmodulin binding	192917.5	0.5124623634369582	1.0
protein glycosylation	175342.5	0.9046031444680351	1.0
potassium ion transport	125655.0	0.8582952690507062	1.0
cellular response to leukemia inhibitory factor	88273.0	0.7343096523563697	1.0
molecular-function	644418.5	0.15409928416196872	1.0
transcription coactivator activity	183269.0	0.9999999221788001	1.0
transcription from RNA polymerase II promoter	397432.0	1.0	1.0
transcription initiation from RNA polymerase II promoter	120463.0	0.9999881224898098	1.0
transcription elongation from RNA polymerase II promoter	67750.5	0.9971207193231636	1.0
cellular response to tumor necrosis factor	105774.0	0.1160354246372104	1.0
regulation of receptor activity	385860.0	0.6001617491907096	1.0
positive regulation of ERK1 and ERK2 cascade	230084.5	0.0073302159771000824	1.0
hormone activity	74265.5	0.9813903252926087	1.0
cellular response to DNA damage stimulus	530032.0	0.03099704679283073	1.0
cell cycle	579938.0	0.9319660581907291	1.0
integrin-mediated signaling pathway	116495.5	0.09085979028642865	1.0
positive regulation of transcription	475165.5	0.999999999999995	1.0
negative regulation of cell growth	105182.0	0.922253748028521	1.0
negative regulation of cell migration	95813.0	0.9631477582910998	1.0
angiogenesis	326346.0	0.6068002604421037	1.0
endomembrane system	148155.0	0.955728871163547	1.0
