GO	U	pval	pval_adj
collagen trimer	131159.0	0.0006384904452518413	0.29051315258958776
receptor-mediated endocytosis	185869.5	0.0006919156228972625	0.3141296927953572
carbohydrate binding	185837.0	0.0007002019661184691	0.3171914906516665
regulation of G2/M transition of mitotic cell cycle	123306.5	0.0011412010661735284	0.5158228819104348
steroid metabolic process	138830.5	0.0015395031892973935	0.6943159383731244
receptor binding	467199.5	0.0018096407919619944	0.8143383563828975
positive regulation of ERK1 and ERK2 cascade	226882.0	0.00196799196349595	0.8836283916096814
microtubule binding	236669.0	0.5973651893410774	1.0
organelle membrane	107545.0	0.08368954449093297	1.0
protein polyubiquitination	186446.5	0.8821240180957953	1.0
homophilic cell adhesion via plasma membrane adhesion molecules	103769.0	0.7427034143970732	1.0
actin cytoskeleton organization	130950.0	0.9583925817152666	1.0
postsynaptic membrane	217343.5	0.9994190015179848	1.0
protein kinase binding	345451.0	0.9935578151590281	1.0
microtubule	323033.0	0.48959294449212387	1.0
microtubule cytoskeleton	158921.0	0.7110667204302765	1.0
G2/M transition of mitotic cell cycle	153361.5	0.0858504574183594	1.0
chemical synaptic transmission	179511.0	0.9989465601734762	1.0
myelin sheath	122857.5	0.860436989898928	1.0
positive regulation of MAPK cascade	105782.0	0.7754164738953206	1.0
enzyme binding	358779.5	0.2295864834614626	1.0
brain development	238892.5	0.9556540280656551	1.0
flavin adenine dinucleotide binding	102876.5	0.12181984461978757	1.0
spindle	192327.5	0.8159698830943326	1.0
spermatid development	130127.5	0.02945743848975999	1.0
muscle organ development	96285.5	0.8932851456472208	1.0
protein binding	102538.0	0.37641642708130824	1.0
ruffle	113241.0	0.7060521140738697	1.0
cytoplasmic vesicle membrane	168408.5	0.6789962646877263	1.0
actin cytoskeleton	201648.0	0.908171833349467	1.0
phosphatidylinositol binding	97887.0	0.46439002488854797	1.0
actin filament organization	121089.5	0.6144958576076702	1.0
cell migration	243182.0	0.7443717408396955	1.0
lamellipodium	184292.5	0.8046868245244948	1.0
lipid transport	125215.0	0.04790719761600897	1.0
vesicle	164377.5	0.37968934647529434	1.0
transcription regulatory region DNA binding	244057.5	0.9975714123945237	1.0
transcriptional activator activity	143664.0	0.9962765918867729	1.0
growth cone	94236.5	0.9682563616384239	1.0
regulation of lipid metabolic process	95988.5	0.2615002424757302	1.0
perinuclear region of cytoplasm	623822.0	0.9887472264298872	1.0
cadherin binding	244528.5	0.9722290636737924	1.0
regulation of cell cycle	112727.5	0.9732136114126044	1.0
osteoblast differentiation	92140.5	0.96204497536113	1.0
mitochondrial membrane	118673.0	0.19765097555049516	1.0
nuclear matrix	111985.0	0.3497223968187517	1.0
mRNA transport	77761.5	0.9696186155372352	1.0
midbody	123358.0	0.9947387041661456	1.0
GTPase activity	227512.0	0.9994884506334604	1.0
cell body	84837.5	0.8157444917783301	1.0
GTP binding	326649.5	0.9934736021124744	1.0
response to nutrient	114289.0	0.24917412636664665	1.0
sarcolemma	102154.0	0.8866742988532665	1.0
response to stimulus	247419.0	0.842512515146173	1.0
sensory perception of smell	103882.0	0.9777526927629455	1.0
spindle pole	148061.5	0.4486750037514624	1.0
cell cortex	149116.0	0.7536849610193684	1.0
positive regulation of NF-kappaB transcription factor activity	154555.5	0.06689864345432156	1.0
structural constituent of ribosome	91562.5	0.6443428425059581	1.0
ribosome	131544.0	0.5345467085306851	1.0
post-translational protein modification	363071.0	0.7065228098217745	1.0
endoplasmic reticulum lumen	363232.0	0.017735932729585492	1.0
potassium ion transport	126901.0	0.8961489033019616	1.0
potassium ion transmembrane transport	133905.5	0.8654167368406844	1.0
cellular response to lipopolysaccharide	137295.5	0.10207634652624831	1.0
tumor necrosis factor-mediated signaling pathway	122118.0	0.694768395801084	1.0
macromolecular complex binding	183498.0	0.7467007908183909	1.0
G1/S transition of mitotic cell cycle	108914.0	0.7647013955150114	1.0
negative regulation of gene expression	217918.0	0.5516083282327895	1.0
response to ethanol	123702.0	0.626926466834006	1.0
response to drug	254103.0	0.820671333316367	1.0
mitochondrial inner membrane	391067.0	0.21703645012602035	1.0
voltage-gated potassium channel complex	85904.0	0.9696950090338554	1.0
response to hypoxia	154027.0	0.8553797327976294	1.0
endocytosis	201551.0	0.716696126812306	1.0
Fc-epsilon receptor signaling pathway	93231.5	0.9489997767121379	1.0
stimulatory C-type lectin receptor signaling pathway	94750.0	0.7614657697106986	1.0
activation of MAPK activity	139055.0	0.45883810095673394	1.0
T cell receptor signaling pathway	125120.5	0.7947223807939265	1.0
receptor complex	183443.5	0.2282311041282863	1.0
lipid binding	305536.5	0.414690048518996	1.0
sensory perception of sound	126012.5	0.9524428277956908	1.0
cell-cell adhesion	122886.0	0.03895126131785057	1.0
cell-cell signaling	234298.5	0.38464213592160523	1.0
adaptive immune response	163338.0	0.0023485988395772293	1.0
neuronal cell body	331638.5	0.9899437808695094	1.0
phosphatase activity	112917.5	0.30718156804591157	1.0
response to lipopolysaccharide	208944.0	0.003920818163130232	1.0
phosphoprotein phosphatase activity	128680.0	0.5324452654420588	1.0
late endosome	125033.0	0.9291426904837528	1.0
early endosome	280051.5	0.4918572050892765	1.0
intracellular protein transport	233117.0	0.995551455696322	1.0
protein sumoylation	84499.5	0.9080743023105804	1.0
positive regulation of I-kappaB kinase/NF-kappaB signaling	197905.0	0.03018438537837009	1.0
nuclear membrane	255679.0	0.7853547635967486	1.0
mitotic cell cycle	123251.0	0.5138372959194992	1.0
protein transport	601125.5	0.9999629224460185	1.0
viral process	428104.0	0.41339874152825734	1.0
phospholipid binding	117546.5	0.23896839186877977	1.0
spermatogenesis	410878.0	0.016882451960736563	1.0
secretory granule	112909.5	0.10081456397055816	1.0
protein dephosphorylation	159761.5	0.44818239694485956	1.0
neuron migration	116014.5	0.814064937900912	1.0
DNA binding	1597088.5	0.9999983265622516	1.0
positive regulation of neuron projection development	106804.0	0.9764492101078069	1.0
anchored component of membrane	109386.0	0.05188767342590784	1.0
methyltransferase activity	206895.0	0.03130651586677796	1.0
methylation	206895.0	0.03130651586677796	1.0
palate development	73519.5	0.9930588059719626	1.0
dioxygenase activity	104335.5	0.290578613981863	1.0
positive regulation of protein targeting to mitochondrion	82005.5	0.9014516431908606	1.0
small GTPase mediated signal transduction	113334.0	0.4267940005621673	1.0
trans-Golgi network	124606.0	0.9354084152828207	1.0
negative regulation of inflammatory response	115700.0	0.10717492834366832	1.0
negative regulation of neuron apoptotic process	133077.5	0.8841435471721464	1.0
phagocytic vesicle	83599.0	0.8577094996266632	1.0
nuclear chromosome	128276.5	0.2872772006245302	1.0
neuron differentiation	117239.5	0.9997724613527496	1.0
fibrillar center	91842.0	0.9276687096128344	1.0
condensed chromosome kinetochore	113456.5	0.5645636036664017	1.0
neural tube closure	100683.5	0.621946147474356	1.0
locomotory behavior	99291.5	0.9413065631184249	1.0
regulation of GTPase activity	94282.5	0.7801234882070616	1.0
regulation of small GTPase mediated signal transduction	147562.0	0.4702364552169953	1.0
visual perception	222618.0	0.8859337520068085	1.0
wound healing	133370.0	0.4512206598067532	1.0
Golgi lumen	113398.0	0.2861907209918219	1.0
heme binding	113946.5	0.2630960898901121	1.0
iron ion binding	161150.0	0.012830885902453461	1.0
symporter activity	140283.0	0.052613315147000544	1.0
transferase activity	138302.0	0.3632864698898822	1.0
transcription factor complex	195698.5	0.999490110273214	1.0
anterior/posterior pattern specification	86772.0	0.9187509063751226	1.0
cellular response to mechanical stimulus	109655.0	0.005806868873644298	1.0
protein phosphatase binding	87677.0	0.977220820774102	1.0
chloride transmembrane transport	103540.5	0.6237106042495818	1.0
chloride channel activity	89423.5	0.6051674227786832	1.0
mitochondrion organization	94774.5	0.7604646501494607	1.0
specific granule membrane	130956.0	0.002698598330844607	1.0
motor activity	97881.5	0.31284628055436986	1.0
chloride transport	111056.5	0.3940455914791599	1.0
protein N-terminus binding	82632.0	0.996029224679935	1.0
microtubule motor activity	112353.5	0.021506649817108186	1.0
microtubule-based movement	125572.0	0.09204436053035875	1.0
kinase binding	94521.0	0.866669230507515	1.0
hemopoiesis	88057.5	0.6754993164714638	1.0
axonogenesis	88472.0	0.9951152697183652	1.0
kidney development	99933.0	0.9313438381252118	1.0
animal organ morphogenesis	108461.5	0.9825850535947385	1.0
response to oxidative stress	125843.5	0.7703658299700196	1.0
histone binding	121732.5	0.4470034186913997	1.0
transcriptional repressor activity	75636.5	0.99433353887259	1.0
PML body	98904.5	0.8182843647573906	1.0
Rab GTPase binding	131189.5	0.5506621166676803	1.0
exocytosis	119601.5	0.8715176977761386	1.0
presynapse	88908.5	0.6322341635313297	1.0
transporter activity	142679.5	0.8574327051148967	1.0
bicellular tight junction	124203.0	0.6044925354411617	1.0
structural molecule activity	156448.0	0.8643300063044268	1.0
ubiquitin ligase complex	113358.0	0.5693307050087613	1.0
Ras protein signal transduction	90791.5	0.8049133709608725	1.0
apical part of cell	120338.0	0.03321178493947893	1.0
lung development	107393.0	0.9438531680818434	1.0
basement membrane	108175.0	0.07147318365601048	1.0
cation transport	86232.0	0.8629740915060937	1.0
P-body	79185.5	0.9534058194671666	1.0
chromatin	112064.5	0.630748534045139	1.0
membrane organization	145888.0	0.7662534142043173	1.0
activation of GTPase activity	91023.0	0.6712386210606661	1.0
late endosome membrane	104942.5	0.9700892428480434	1.0
multicellular organism growth	112260.5	0.4797695349295588	1.0
RNA polymerase II regulatory region sequence-specific DNA binding	202292.5	0.9992494747677648	1.0
aging	151993.5	0.6487825134402057	1.0
antigen processing and presentation of exogenous peptide antigen via MHC class II	77577.0	0.9713270341022471	1.0
melanosome	129493.5	0.1434816991269049	1.0
cell	108311.0	0.06902522261047253	1.0
chromosome	425595.5	0.005929747073191709	1.0
ubiquitin-dependent protein catabolic process	208545.5	0.9555562946727733	1.0
positive regulation of endothelial cell proliferation	77242.5	0.9742206687807613	1.0
rRNA processing	157317.5	0.8440743918160774	1.0
cellular response to hypoxia	93499.0	0.6905129533218345	1.0
DNA recombination	122152.0	0.0066238022383115405	1.0
nucleic acid phosphodiester bond hydrolysis	131986.5	0.25867107680325807	1.0
nuclease activity	129514.5	0.6252543142698682	1.0
macromolecular complex assembly	120873.5	0.34991084034552977	1.0
regulation of translation	141839.5	0.8040330021445825	1.0
positive regulation of protein kinase B signaling	167065.0	0.6221495644295134	1.0
phosphatidylinositol-4	99004.5	0.701462211771109	1.0
Ras guanyl-nucleotide exchange factor activity	116840.0	0.39982811224969644	1.0
phosphatidylinositol phosphorylation	127325.0	0.8873108692472078	1.0
skeletal system development	135728.0	0.9648879208096045	1.0
single-stranded DNA binding	104857.5	0.15354429648402773	1.0
ossification	115292.0	0.4747599946228626	1.0
proteasome-mediated ubiquitin-dependent protein catabolic process	179233.5	0.9827656804991539	1.0
response to organic cyclic compound	102362.5	0.8816034590837392	1.0
platelet activation	112230.0	0.4812844194031182	1.0
phosphatidylinositol biosynthetic process	75720.0	0.9844889881593968	1.0
sister chromatid cohesion	135276.0	0.36654081821882667	1.0
chromosome	195465.5	0.3159471837837935	1.0
kinetochore	134335.0	0.5398470853653239	1.0
nucleotidyltransferase activity	93615.0	0.3777619816666814	1.0
cellular-component	393887.0	0.5681140333489729	1.0
post-embryonic development	107578.5	0.7029392756577827	1.0
histone deacetylase binding	116207.0	0.9674458964982662	1.0
protein C-terminus binding	199680.0	0.9339547104245277	1.0
protein heterooligomerization	84535.5	0.9550327524861137	1.0
negative regulation of protein kinase activity	123428.0	0.9093182307643783	1.0
Wnt signaling pathway	78073.0	0.9861487650977594	1.0
protein kinase inhibitor activity	87755.0	0.6903603500410147	1.0
negative regulation of endopeptidase activity	106303.0	0.051431293007249364	1.0
cell-cell junction	158329.0	0.9298941692853555	1.0
heart development	213332.0	0.9772983308866318	1.0
neuron projection	298073.0	0.9775757504683692	1.0
ficolin-1-rich granule lumen	103165.5	0.766672144337628	1.0
secretory granule lumen	125817.0	0.2664754067286191	1.0
growth factor activity	141384.5	0.7248448230156107	1.0
protease binding	127096.5	0.0034572909623301505	1.0
positive regulation of angiogenesis	165265.0	0.0035933959923010084	1.0
activation of cysteine-type endopeptidase activity involved in apoptotic process	117139.0	0.03391644106982393	1.0
guanyl-nucleotide exchange factor activity	184143.5	0.40760688292967817	1.0
positive regulation of canonical Wnt signaling pathway	104627.0	0.9979418158442478	1.0
negative regulation of peptidase activity	102851.5	0.056448974453290834	1.0
biological-process	505672.5	0.31556549359662944	1.0
RNA polymerase II proximal promoter sequence-specific DNA binding	392727.5	0.9999868450523015	1.0
response to estradiol	96369.0	0.6906701346762307	1.0
transcriptional repressor activity	147648.0	0.9235755425207578	1.0
protein domain specific binding	251677.0	0.9988818511907981	1.0
negative regulation of transcription	452748.5	0.9996911004920549	1.0
transcription corepressor activity	166894.5	0.9994408839376319	1.0
rhythmic process	118122.0	0.9736948826549501	1.0
protein heterodimerization activity	405125.0	0.9997115310307084	1.0
mitochondrion	1436503.5	0.11815985406237656	1.0
transcription	1659873.5	0.999999999999896	1.0
regulation of transcription	1735896.0	0.9999999999998571	1.0
axon guidance	201641.5	0.9893890428215409	1.0
nervous system development	453629.5	0.9989091823093448	1.0
protein deubiquitination	243834.0	0.9363351015418061	1.0
thiol-dependent ubiquitin-specific protease activity	90164.5	0.565348387485518	1.0
thiol-dependent ubiquitinyl hydrolase activity	94536.0	0.6400737018443898	1.0
cysteine-type peptidase activity	148208.0	0.3204423781508289	1.0
ubiquitin protein ligase binding	304119.0	0.8765277888450611	1.0
macroautophagy	82553.0	0.9750492704423286	1.0
ion channel binding	100753.0	0.99656481932587	1.0
muscle contraction	87474.0	0.9524918415316941	1.0
intracellular	1058459.5	0.9741167874235804	1.0
focal adhesion	384203.0	0.7349527655305532	1.0
Z disc	106287.0	0.7561139999397273	1.0
actin binding	336046.0	0.6049684758997809	1.0
actin filament binding	123803.5	0.9722037926200932	1.0
calcium ion binding	664904.0	0.21214993797825288	1.0
negative regulation of transcription from RNA polymerase II promoter	678770.5	0.9999999152753062	1.0
integrin binding	149980.5	0.36777468872342667	1.0
RNA polymerase II transcription factor activity	782028.5	0.9999999999398989	1.0
DNA binding transcription factor activity	735990.0	0.9999999999703236	1.0
nuclear speck	355942.0	0.9938883861477299	1.0
autophagy	138247.0	0.9831001275671528	1.0
transmembrane signaling receptor activity	284565.5	0.0609424871567507	1.0
multicellular organism development	1032642.0	0.9999383982330966	1.0
negative regulation of apoptotic process	486542.0	0.742313374095255	1.0
positive regulation of GTPase activity	344820.5	0.7395744116221583	1.0
positive regulation of cell migration	202175.0	0.07962813787189948	1.0
positive regulation of peptidyl-tyrosine phosphorylation	92312.0	0.6057799212676189	1.0
regulation of cell shape	178452.5	0.2005225652582816	1.0
positive regulation of phosphatidylinositol 3-kinase signaling	91449.5	0.49493794574717775	1.0
protein ubiquitination	500301.0	0.999998580750752	1.0
integral component of endoplasmic reticulum membrane	101257.0	0.7282822564401561	1.0
transmembrane transporter activity	120908.0	0.7425599313045198	1.0
endoplasmic reticulum membrane	880955.0	0.6794552152106954	1.0
transmembrane transport	582697.5	0.3988643798873575	1.0
positive regulation of cell proliferation	507118.0	0.10758510342828809	1.0
oxidoreductase activity	619768.0	0.011040842614017327	1.0
oxidation-reduction process	694550.0	0.020616894937159274	1.0
mitochondrial matrix	337079.0	0.576265901704388	1.0
translation	237805.5	0.7365304282926243	1.0
ligase activity	178598.5	0.1964107501595394	1.0
synapse	512835.5	0.9998245028927183	1.0
postsynaptic density	198157.5	0.9954485475164137	1.0
synaptic vesicle	104192.5	0.9993624481173701	1.0
regulation of transcription from RNA polymerase II promoter	656532.5	0.9999980679767813	1.0
circadian rhythm	104446.0	0.946366086068952	1.0
Golgi apparatus	1180786.0	0.9947726480338734	1.0
regulation of apoptotic process	259534.0	0.8762707256251935	1.0
macromolecular complex	526211.0	0.24374624785712556	1.0
lysosomal lumen	124518.5	0.32001890755574836	1.0
lysosome	417546.0	0.26172143904551937	1.0
cytoplasmic vesicle	756036.0	0.2895316097763313	1.0
positive regulation of transcription from RNA polymerase II promoter	984044.5	0.9999979300787918	1.0
spliceosomal complex	125433.5	0.9901601413740685	1.0
helicase activity	170263.5	0.10937059467681143	1.0
RNA splicing	244339.5	0.9561751804952137	1.0
mRNA splicing	184971.5	0.9950912683429367	1.0
nucleolus	831178.5	0.48626019965353817	1.0
cytoplasm	3932808.5	0.9998033087714836	1.0
cytosol	3303245.0	0.9999999832499699	1.0
membrane	4386463.0	0.08622990633836392	1.0
endoplasmic reticulum	1320585.5	0.7463338560310822	1.0
cell proliferation	365055.0	0.7254622812903199	1.0
metal ion binding	2696658.0	0.9791595924361141	1.0
cell differentiation	849039.5	0.9822454785975484	1.0
nucleus	3616208.5	0.9999999999855949	1.0
mRNA processing	336206.5	0.9485010143873597	1.0
apoptotic process	645768.5	0.6299085923347587	1.0
ATP binding	1494275.5	0.05886886617225696	1.0
protein binding	3992245.5	0.9998264294525733	1.0
RNA binding	1265792.0	0.9528653606786109	1.0
hydrolase activity	1607806.0	0.003772174072016488	1.0
nucleotide binding	1683793.0	0.6771414947963927	1.0
nucleic acid binding	935922.5	0.994289158867007	1.0
plasma membrane	3423221.5	0.01563379897479993	1.0
peptidyl-serine phosphorylation	150239.0	0.877118211050155	1.0
intracellular membrane-bounded organelle	791499.5	0.07070597594259688	1.0
cell junction	769987.0	0.9959404269709153	1.0
negative regulation of canonical Wnt signaling pathway	124573.5	0.9994805950985272	1.0
positive regulation of peptidyl-serine phosphorylation	105485.0	0.8735737858745785	1.0
positive regulation of apoptotic process	369343.0	0.8940719734788087	1.0
nucleoplasm	2387350.5	0.9999999724374654	1.0
central nervous system development	118654.0	0.9855535686040053	1.0
positive regulation of protein phosphorylation	199031.0	0.0455642904443519	1.0
identical protein binding	911851.0	0.9796133811990301	1.0
protein phosphorylation	670538.5	0.9515464527641243	1.0
protein dimerization activity	199394.5	0.9998661826755931	1.0
kinase activity	708140.0	0.8936638504159398	1.0
protein autophosphorylation	198747.0	0.5145874513819927	1.0
magnesium ion binding	200882.5	0.9501163426470124	1.0
protein homodimerization activity	721613.5	0.8918556264227548	1.0
signal transduction	1645630.5	0.7641345163133287	1.0
intracellular signal transduction	494471.5	0.7487497231531548	1.0
transferase activity	1628646.5	0.931954036922624	1.0
nuclear body	291176.5	0.9560388474095382	1.0
phosphorylation	712048.0	0.9056230323894319	1.0
negative regulation of cell proliferation	444934.0	0.933289003970905	1.0
protein serine/threonine kinase activity	436928.0	0.9318856553727566	1.0
protein kinase activity	567911.5	0.874635280892778	1.0
protein stabilization	128444.5	0.5432845276540015	1.0
transcription factor binding	286008.5	0.9989731574101646	1.0
carbohydrate metabolic process	228019.5	0.15074636490597737	1.0
metabolic process	494416.0	0.013285310492434874	1.0
lysosomal membrane	335735.5	0.6878834137207296	1.0
chromatin remodeling	106581.5	0.32446591920647383	1.0
cell cycle arrest	135886.5	0.8125486454959163	1.0
chromatin binding	364171.0	0.9749357824709453	1.0
early endosome membrane	153690.5	0.9518274071576195	1.0
protein tyrosine kinase activity	197533.5	0.5595929245646448	1.0
endosome	658739.0	0.9876581185905159	1.0
isomerase activity	98006.0	0.30688440012952256	1.0
catalytic activity	558051.5	0.06051154546928804	1.0
dephosphorylation	147253.5	0.48360101244504905	1.0
Notch signaling pathway	93061.0	0.9774779417651461	1.0
centrosome	550126.0	0.10396186053855239	1.0
microtubule organizing center	448240.0	0.04525814799609348	1.0
ribosome biogenesis	98521.5	0.7228493821040529	1.0
cytokine-mediated signaling pathway	355100.5	0.008668721852365781	1.0
regulation of mRNA stability	83984.0	0.9833834625059824	1.0
mRNA binding	121951.0	0.9994813918613843	1.0
blood coagulation	221466.0	0.00880846533541029	1.0
intracellular ribonucleoprotein complex	258288.5	0.9719908308111153	1.0
RNA processing	122504.5	0.960203161937374	1.0
transcription coactivator activity	229525.0	0.9991021423108467	1.0
transcription from RNA polymerase II promoter	531971.0	0.9999999986477387	1.0
transcription initiation from RNA polymerase II promoter	139172.0	0.9998715079696602	1.0
transcription elongation from RNA polymerase II promoter	70336.0	0.9994267718552967	1.0
cellular response to tumor necrosis factor	108323.0	0.028365744878007665	1.0
regulation of receptor activity	410625.0	0.0933664724490531	1.0
chemotaxis	153946.0	0.016866927848438698	1.0
hormone activity	94910.5	0.46635133796978967	1.0
cell cycle	619546.5	0.4372708922494208	1.0
transmembrane receptor protein tyrosine kinase signaling pathway	162942.0	0.07825152554899374	1.0
integrin-mediated signaling pathway	119545.0	0.016236902502726837	1.0
axon	303280.0	0.9660658239431291	1.0
regulation of cell proliferation	267289.0	0.13497575886960173	1.0
positive regulation of gene expression	358529.0	0.6806749500380125	1.0
double-stranded DNA binding	118274.0	0.6109883367582176	1.0
nuclear envelope	151368.0	0.9850945786676708	1.0
in utero embryonic development	202182.5	0.8484335500709718	1.0
MAPK cascade	265449.5	0.9625153834137508	1.0
nuclear chromatin	188088.0	0.8490399892551683	1.0
ion channel activity	161913.0	0.9185077701629827	1.0
endosome membrane	233470.5	0.6981052210711667	1.0
regulation of ion transmembrane transport	134785.5	0.8433439328952728	1.0
voltage-gated ion channel activity	126117.5	0.7607286457495659	1.0
ubiquitin protein ligase activity	199713.0	0.9932889817312069	1.0
positive regulation of cell growth	100440.0	0.3333355446582259	1.0
sequence-specific DNA binding	505930.0	0.9999999952958711	1.0
anatomical structure morphogenesis	126765.5	0.9934272799050149	1.0
neuropeptide signaling pathway	85274.5	0.9448601824518791	1.0
transcriptional activator activity	250812.5	0.9999923208845409	1.0
ubiquitin-protein transferase activity	327921.5	0.9991288471362381	1.0
binding	393471.5	0.5789013012905239	1.0
cell division	413313.5	0.35877491352371943	1.0
cilium assembly	207214.5	0.029199893999392462	1.0
cell projection organization	177463.0	0.04805260790061891	1.0
ciliary basal body	142893.0	0.19210463375753933	1.0
cytoskeleton organization	173880.0	0.09813228788333428	1.0
recycling endosome	136344.0	0.6992363867384954	1.0
protein localization to plasma membrane	114718.0	0.8523918565526014	1.0
peptidyl-tyrosine phosphorylation	201823.5	0.6124323305062176	1.0
regulation of gene expression	181245.5	0.9526927672813182	1.0
negative regulation of cell growth	99762.5	0.9938579156151122	1.0
negative regulation of cell migration	110847.0	0.6856831132715108	1.0
ion transmembrane transport	275904.5	0.8337378838676412	1.0
protein glycosylation	172208.5	0.9774722534726862	1.0
Golgi membrane	591526.5	0.9986357498280319	1.0
transferase activity	234194.5	0.8255212567762336	1.0
perikaryon	88861.0	0.997921427473249	1.0
calcium ion transport	122769.0	0.8626774773993007	1.0
sodium ion transport	169841.5	0.015382163528736942	1.0
cell projection	898332.5	0.1861790579641568	1.0
calcium ion transmembrane transport	108465.0	0.8691186465405718	1.0
basolateral plasma membrane	216838.5	0.0491132305819284	1.0
ion transport	619178.5	0.8747326140502412	1.0
dendrite	362461.5	0.9973109972409133	1.0
cellular calcium ion homeostasis	103181.5	0.6410280709409426	1.0
dendritic spine	109267.0	0.9958537734229541	1.0
calmodulin binding	192006.5	0.550583966645676	1.0
lyase activity	186016.0	0.005363209657865606	1.0
transport vesicle	83216.0	0.9336116957620003	1.0
G-protein coupled receptor activity	497831.0	0.6221645115780897	1.0
signal transducer activity	657626.0	0.9154319119974343	1.0
G-protein coupled receptor signaling pathway	752480.0	0.8481393409354403	1.0
cholesterol metabolic process	126959.0	0.011379585740292743	1.0
regulation of signal transduction by p53 class mediator	162127.0	0.24544959053417853	1.0
glucose homeostasis	138700.0	0.23163836143860916	1.0
Wnt signaling pathway	182142.0	0.9995401332119405	1.0
chromatin organization	297343.5	0.8939386929721553	1.0
proteinaceous extracellular matrix	457008.0	0.12523830935516667	1.0
SH3 domain binding	129501.0	0.23991117643668985	1.0
extracellular matrix disassembly	110309.0	0.004476141837787766	1.0
extracellular matrix	336104.5	0.018802604021289124	1.0
acrosomal vesicle	102569.0	0.13046615876701306	1.0
angiogenesis	323599.0	0.7097212530576048	1.0
endomembrane system	165040.0	0.6969993025252981	1.0
male gonad development	115185.0	0.11984718426569874	1.0
extracellular matrix organization	280865.5	0.006600982690019188	1.0
cellular protein modification process	114695.5	0.5040253216185302	1.0
protein folding	121107.5	0.9974682706005865	1.0
ER to Golgi vesicle-mediated transport	161478.0	0.9248306493848528	1.0
regulation of molecular function	272164.5	0.6469735976578364	1.0
vesicle-mediated transport	217596.0	0.9986836646196727	1.0
ATPase activity	192982.5	0.01049281450588372	1.0
molecular-function	650463.5	0.04948739482963388	1.0
positive regulation of transcription	601809.5	0.9998773465006826	1.0
collagen binding	103920.0	0.09550334541310096	1.0
cellular response to leukemia inhibitory factor	92917.0	0.573855936282414	1.0
heparin binding	197611.5	0.0069147352940415515	1.0
neuron projection development	117652.5	0.8491727889855805	1.0
membrane raft	236320.5	0.41400091795425087	1.0
mitochondrial outer membrane	158374.0	0.7299810495429835	1.0
protein homooligomerization	177316.5	0.7617025485366152	1.0
positive regulation of cytosolic calcium ion concentration	145575.5	0.1201414101305473	1.0
GTPase activator activity	287318.0	0.9154410755090183	1.0
cytoskeleton	1311523.5	0.10099662566603307	1.0
