Bos_taurus	Capra_hircus	Ovis_aries	Homo_sapiens	Chlorocebus_sabaeus	name
	XM_005689295.2	ENSOART00000011122	ENST00000456015	ENSCSAT00000008976	ENSG00000164756_SLC30A8
ENSBTAT00000026836	XM_018051890.1	ENSOART00000015883	ENST00000380036	ENSCSAT00000007857	ENSG00000120156_TEK
ENSBTAT00000004510	XM_018040994.1	ENSOART00000019732	ENST00000347898	ENSCSAT00000004533	ENSG00000158865_SLC5A11
ENSBTAT00000026230	XM_018063371.1	ENSOART00000005642	ENST00000324444	ENSCSAT00000002314	ENSG00000181392_SYNE4
	XM_005676492.3	ENSOART00000020942	ENST00000342788		ENSG00000178568_ERBB4
ENSBTAT00000002010	XM_018053122.1	ENSOART00000012439	ENST00000262903	ENSCSAT00000012799	ENSG00000085382_HACE1
ENSBTAT00000017631	XM_005679712.3	ENSOART00000015850	ENST00000266674	ENSCSAT00000002133	ENSG00000139292_LGR5
ENSBTAT00000044402	XM_005686868.3	ENSOART00000021191	ENST00000344773	ENSCSAT00000008358	ENSG00000158019_BABAM2
ENSBTAT00000000200	XM_018049382.1	ENSOART00000013597	ENST00000261435	ENSCSAT00000015149	ENSG00000078177_N4BP2
ENSBTAT00000065774	XM_005679109.3	ENSOART00000020777	ENST00000435765	ENSCSAT00000009815	ENSG00000161057_PSMC2
ENSBTAT00000052902	XM_018060914.1	ENSOART00000013842	ENST00000248948	ENSCSAT00000009519	ENSG00000128218_VPREB3
ENSBTAT00000008767	XM_013963434.2	ENSOART00000000461	ENST00000194130	ENSCSAT00000008387	ENSG00000081800_SLC13A1
ENSBTAT00000027608	XM_018043895.1	ENSOART00000004846	ENST00000398000	ENSCSAT00000011954	ENSG00000147113_CXorf36
ENSBTAT00000027394	XM_005696875.3	ENSOART00000013075	ENST00000536551	ENSCSAT00000005646	ENSG00000230873_STMND1
ENSBTAT00000020656	XM_018057058.1	ENSOART00000019147	ENST00000333396	ENSCSAT00000004017	ENSG00000170854_RIOX2
ENSBTAT00000010767	XM_018050872.1	ENSOART00000010432	ENST00000301281	ENSCSAT00000008629	ENSG00000167671_UBXN6
ENSBTAT00000015947	XM_018046548.1	ENSOART00000012313	ENST00000342310	ENSCSAT00000008768	ENSG00000162761_LMX1A
ENSBTAT00000021105	XM_018048629.1	ENSOART00000011850	ENST00000397132	ENSCSAT00000009337	ENSG00000078246_TULP3
ENSBTAT00000000995	XM_005680740.3	ENSOART00000021747	ENST00000458174	ENSCSAT00000005788	ENSG00000152936_LMNTD1
ENSBTAT00000064492	XM_018065280.1	ENSOART00000012295	ENST00000415613	ENSCSAT00000001805	ENSG00000186868_MAPT
ENSBTAT00000006638	XM_018059308.1	ENSOART00000014547	ENST00000456580	ENSCSAT00000001903	ENSG00000149260_CAPN5
ENSBTAT00000038546	XM_018065811.1	ENSOART00000014225	ENST00000332432	ENSCSAT00000015357	ENSG00000183654_MARCH11
ENSBTAT00000024513	XM_018062219.1	ENSOART00000003942	ENST00000359154	ENSCSAT00000002193	ENSG00000198373_WWP2
ENSBTAT00000032353	XM_018062093.1	ENSOART00000002534	ENST00000338437	ENSCSAT00000002652	ENSG00000168748_CA7
			ENST00000402297	ENSCSAT00000010276	ENSG00000218739_CEBPZOS
ENSBTAT00000015654	XM_018043825.1	ENSOART00000001753	ENST00000324817	ENSCSAT00000012082	ENSG00000180182_MED14
ENSBTAT00000022919		ENSOART00000004789	ENST00000302182	ENSCSAT00000006872	ENSG00000170315_UBB
ENSBTAT00000013989	XM_013971564.2	ENSOART00000011741	ENST00000601498		ENSG00000042753_AP2S1
ENSBTAT00000012631	XM_005700575.3	ENSOART00000002809	ENST00000357749	ENSCSAT00000008589	ENSG00000188419_CHM
ENSBTAT00000028464	XM_018043874.1	ENSOART00000017705	ENST00000374080	ENSCSAT00000009525	ENSG00000184634_MED12
ENSBTAT00000017906	XM_018045066.1	ENSOART00000006650	ENST00000370060	ENSCSAT00000004912	ENSG00000198910_L1CAM
ENSBTAT00000000119	XM_005677368.3	ENSOART00000005418	ENST00000368321	ENSCSAT00000000093	ENSG00000132680_KHDC4
			ENST00000327216		ENSG00000181371_OR5M8
ENSBTAT00000057188	XM_005683014.3	ENSOART00000018607	ENST00000302125	ENSCSAT00000011150	ENSG00000170476_MZB1
ENSBTAT00000032311	XM_018062225.1	ENSOART00000004131	ENST00000535424	ENSCSAT00000002291	ENSG00000182149_IST1
ENSBTAT00000018017	XM_018044324.1	ENSOART00000009224	ENST00000370328	ENSCSAT00000005064	ENSG00000102287_GABRE
ENSBTAT00000028959	XM_018044967.1	ENSOART00000008657	ENST00000246505	ENSCSAT00000015536	ENSG00000126226_PCID2
ENSBTAT00000003524	XM_005678419.3	ENSOART00000005858	ENST00000257181	ENSCSAT00000017257	ENSG00000134748_PRPF38A
ENSBTAT00000063231	XM_018066327.1	ENSOART00000011188	ENST00000382031	ENSCSAT00000007201	ENSG00000166963_MAP1A
ENSBTAT00000053944	XM_005697757.3	ENSOART00000011291	ENST00000395326		ENSG00000241258_CRCP
ENSBTAT00000019092	XM_005690675.3	ENSOART00000000233	ENST00000294485	ENSCSAT00000017736	ENSG00000162490_DRAXIN
ENSBTAT00000015850	XM_005681379.2	ENSOART00000016047	ENST00000511045	ENSCSAT00000002123	ENSG00000138823_MTTP
ENSBTAT00000047352	XM_018055023.1	ENSOART00000013329	ENST00000409262	ENSCSAT00000013611	ENSG00000187605_TET3
ENSBTAT00000015389	XM_018049496.1	ENSOART00000006333	ENST00000309575	ENSCSAT00000018996	ENSG00000175040_CHST2
ENSBTAT00000012652	XM_018059180.1	ENSOART00000003288	ENST00000418153	ENSCSAT00000003691	ENSG00000135365_PHF21A
ENSBTAT00000027121	XM_018050614.1	ENSOART00000005141	ENST00000324417	ENSCSAT00000006906	ENSG00000131183_SLC34A1
ENSBTAT00000017022	XM_005680858.1	ENSOART00000022908	ENST00000355690	ENSCSAT00000007322	ENSG00000172322_CLEC12A
ENSBTAT00000034719	XM_018059893.1	ENSOART00000006914	ENST00000263464		ENSG00000023445_BIRC3
ENSBTAT00000060960	XM_018051292.1	ENSOART00000004330	ENST00000263388	ENSCSAT00000004187	ENSG00000074181_NOTCH3
ENSBTAT00000025502	XM_005693302.3	ENSOART00000012367	ENST00000304478	ENSCSAT00000012334	ENSG00000171861_MRM3
ENSBTAT00000019496	XM_018058679.1		ENST00000340490	ENSCSAT00000007075	ENSG00000147813_NAPRT
ENSBTAT00000035442	XM_005689805.3	ENSOART00000020804	ENST00000311659	ENSCSAT00000019432	ENSG00000175520_UBQLN3
ENSBTAT00000010381	XM_018064094.1	ENSOART00000007955	ENST00000262288	ENSCSAT00000003640	ENSG00000121064_SCPEP1
ENSBTAT00000016186	XM_005695119.3	ENSOART00000002105	ENST00000308527	ENSCSAT00000012680	ENSG00000173548_SNX33
	XM_018045811.1	ENSOART00000019260	ENST00000287474	ENSCSAT00000017032	ENSG00000156869_FRRS1
ENSBTAT00000018126	XM_018053786.1	ENSOART00000019949	ENST00000335894	ENSCSAT00000011379	ENSG00000103599_IQCH
ENSBTAT00000017725	XM_018057663.1	ENSOART00000020772	ENST00000461304	ENSCSAT00000008546	ENSG00000125875_TBC1D20
ENSBTAT00000003052	XM_018060046.1	ENSOART00000004035	ENST00000358024	ENSCSAT00000012711	ENSG00000133069_TMCC2
ENSBTAT00000010206	XM_018055426.1	ENSOART00000021782	ENST00000234256	ENSCSAT00000012830	ENSG00000115902_SLC1A4
ENSBTAT00000036592	XM_018052266.1	ENSOART00000011447	ENST00000450006	ENSCSAT00000014669	ENSG00000158863_FAM160B2
ENSBTAT00000038724	XM_018066556.1	ENSOART00000004434	ENST00000563965	ENSCSAT00000012237	ENSG00000137868_STRA6
ENSBTAT00000053827	XM_018063343.1		ENST00000392161	ENSCSAT00000002243	ENSG00000181007_ZFP82
ENSBTAT00000011617	XM_005693889.3	ENSOART00000005458	ENST00000590996	ENSCSAT00000001430	ENSG00000188554_NBR1
ENSBTAT00000028215	XM_005681121.3	ENSOART00000020303	ENST00000255784	ENSCSAT00000003777	ENSG00000100147_CCDC134
ENSBTAT00000006467	XM_013964713.2	ENSOART00000014770	ENST00000358602	ENSCSAT00000002849	ENSG00000132466_ANKRD17
ENSBTAT00000002867	XM_018051624.1	ENSOART00000001565	ENST00000253778	ENSCSAT00000006228	ENSG00000131459_GFPT2
ENSBTAT00000003739	XM_018063632.1	ENSOART00000000523	ENST00000306801	ENSCSAT00000000324	ENSG00000141564_RPTOR
ENSBTAT00000027390	XM_005688345.3	ENSOART00000000705	ENST00000376309	ENSCSAT00000010887	ENSG00000180424_DEFB123
ENSBTAT00000028518	XM_018054618.1	ENSOART00000020940	ENST00000267426	ENSCSAT00000014276	ENSG00000139914_FITM1
ENSBTAT00000004048	XM_018039778.1	ENSOART00000006662	ENST00000217740	ENSCSAT00000015963	ENSG00000101695_RNF125
ENSBTAT00000024303	XM_018055613.1	ENSOART00000018083	ENST00000448223	ENSCSAT00000005972	ENSG00000163029_SMC6
ENSBTAT00000011078	XM_013970070.2		ENST00000367462	ENSCSAT00000011435	ENSG00000162670_BRINP3
ENSBTAT00000010571	XM_018048918.1	ENSOART00000021244	ENST00000262738	ENSCSAT00000003215	ENSG00000075275_CELSR1
ENSBTAT00000012805	XM_005693318.3	ENSOART00000015620	ENST00000305513	ENSCSAT00000011926	ENSG00000186532_SMYD4
ENSBTAT00000010228	XM_005676295.2	ENSOART00000016299	ENST00000263956	ENSCSAT00000009669	ENSG00000119041_GTF3C3
ENSBTAT00000064532	XM_005685982.3	ENSOART00000023053	ENST00000389614		ENSG00000176153_GPX2
ENSBTAT00000061583	XM_018040251.1	ENSOART00000011724	ENST00000380412	ENSCSAT00000003915	ENSG00000169957_ZNF768
ENSBTAT00000026608	XM_005694804.3	ENSOART00000012221	ENST00000303115	ENSCSAT00000015141	ENSG00000168685_IL7R
ENSBTAT00000023994	XM_018041999.1	ENSOART00000004927	ENST00000312521	ENSCSAT00000007844	ENSG00000174738_NR1D2
ENSBTAT00000002168	XM_005692471.3	ENSOART00000003828	ENST00000336278	ENSCSAT00000002149	ENSG00000168807_SNTB2
ENSBTAT00000021909	XM_005679444.3	ENSOART00000003318	ENST00000542996	ENSCSAT00000008137	ENSG00000128595_CALU
	XM_018040298.1	ENSOART00000020539	ENST00000409223	ENSCSAT00000004106	ENSG00000168427_KLHL30
ENSBTAT00000004268	XM_018041199.1	ENSOART00000017541	ENST00000370223	ENSCSAT00000003581	ENSG00000107816_LZTS2
ENSBTAT00000013242	XM_005697046.3	ENSOART00000008761	ENST00000339486	ENSCSAT00000015776	ENSG00000101782_RIOK3
ENSBTAT00000033124	XM_005686512.3	ENSOART00000009551	ENST00000313117	ENSCSAT00000010372	ENSG00000115875_SRSF7
ENSBTAT00000028561	XM_018066365.1	ENSOART00000003421	ENST00000309664	ENSCSAT00000012352	ENSG00000140506_LMAN1L
ENSBTAT00000027975	XM_013969216.2	ENSOART00000018849	ENST00000315962	ENSCSAT00000012330	ENSG00000147573_TRIM55
ENSBTAT00000064402	XM_018041083.1	ENSOART00000000713	ENST00000303746	ENSCSAT00000008408	ENSG00000131650_KREMEN2
ENSBTAT00000043572	XM_018046642.1	ENSOART00000007896	ENST00000275820	ENSCSAT00000004477	ENSG00000146909_NOM1
ENSBTAT00000028798	XM_018048731.1	ENSOART00000014962	ENST00000249014	ENSCSAT00000005412	ENSG00000128283_CDC42EP1
ENSBTAT00000063398	XM_005689338.3	ENSOART00000003079	ENST00000530497	ENSCSAT00000001084	ENSG00000152578_GRIA4
ENSBTAT00000006500	XM_018060644.1	ENSOART00000017534	ENST00000319416	ENSCSAT00000010126	ENSG00000240021_TEX35
ENSBTAT00000037835	XM_013966501.2	ENSOART00000014624	ENST00000369689	ENSCSAT00000015476	ENSG00000203877_RIPPLY2
ENSBTAT00000019979	XM_005699922.2	ENSOART00000005637	ENST00000310999	ENSCSAT00000006271	ENSG00000174547_MRPL11
ENSBTAT00000030977	XM_005697281.3	ENSOART00000005607	ENST00000491143	ENSCSAT00000016245	ENSG00000119547_ONECUT2
ENSBTAT00000014791	XM_018051370.1	ENSOART00000019184	ENST00000291442	ENSCSAT00000003690	ENSG00000160113_NR2F6
ENSBTAT00000024464	XM_013971957.2	ENSOART00000013409	ENST00000321990	ENSCSAT00000004558	ENSG00000176208_ATAD5
ENSBTAT00000015260	XM_018064391.1	ENSOART00000014158	ENST00000571650	ENSCSAT00000012117	ENSG00000167703_SLC43A2
ENSBTAT00000004201	XM_018067214.1	ENSOART00000000675	ENST00000613206	ENSCSAT00000007565	ENSG00000144711_IQSEC1
ENSBTAT00000028795	XM_018039269.1	ENSOART00000012557	ENST00000371253	ENSCSAT00000010717	ENSG00000153292_ADGRF1
ENSBTAT00000005784	XM_005689106.2	ENSOART00000007501	ENST00000262207	ENSCSAT00000011577	ENSG00000121005_CRISPLD1
ENSBTAT00000000909			ENST00000361221	ENSCSAT00000017666	ENSG00000074964_ARHGEF10L
ENSBTAT00000055262	XM_018047462.1	ENSOART00000008206	ENST00000389418	ENSCSAT00000004464	ENSG00000155093_PTPRN2
ENSBTAT00000038058	XM_018057857.1	ENSOART00000022782	ENST00000409190	ENSCSAT00000017473	ENSG00000162520_SYNC
ENSBTAT00000019742	XM_018064292.1	ENSOART00000018809	ENST00000407008	ENSCSAT00000005426	ENSG00000087095_NLK
	XM_018056878.1	ENSOART00000003274	ENST00000335514		ENSG00000130770_ATPIF1
ENSBTAT00000004265	XM_018041201.1	ENSOART00000017457	ENST00000370242	ENSCSAT00000003590	ENSG00000055950_MRPL43
ENSBTAT00000014258	XM_018050514.1	ENSOART00000009401	ENST00000359315	ENSCSAT00000011138	ENSG00000141933_TPGS1
ENSBTAT00000010705	XM_005684638.3	ENSOART00000011388	ENST00000440797	ENSCSAT00000013414	ENSG00000185250_PPIL6
ENSBTAT00000002360	XM_018064966.1	ENSOART00000009661	ENST00000621958	ENSCSAT00000000638	ENSG00000277399_GPR179
ENSBTAT00000038788	XM_018066594.1	ENSOART00000011470	ENST00000394232	ENSCSAT00000015116	ENSG00000185518_SV2B
ENSBTAT00000028494	XM_013965098.2	ENSOART00000010874	ENST00000588025	ENSCSAT00000004570	ENSG00000179115_FARSA
ENSBTAT00000018304	XM_018041491.1	ENSOART00000019012	ENST00000635765	ENSCSAT00000002859	ENSG00000165868_HSPA12A
ENSBTAT00000017231	XM_018066966.1	ENSOART00000000747	ENST00000283713	ENSCSAT00000012285	ENSG00000136059_VILL
ENSBTAT00000019627	XM_018053737.1	ENSOART00000017603	ENST00000261486	ENSCSAT00000013042	ENSG00000129595_EPB41L4A
ENSBTAT00000018408	XM_018048150.1	ENSOART00000014870	ENST00000635101		ENSG00000136021_SCYL2
ENSBTAT00000044111	XM_018061049.1	ENSOART00000002928	ENST00000216027	ENSCSAT00000008041	ENSG00000100209_HSCB
ENSBTAT00000051891	XM_018054074.1	ENSOART00000001074	ENST00000554015	ENSCSAT00000011883	ENSG00000126804_ZBTB1
ENSBTAT00000012836		ENSOART00000003334	ENST00000292596	ENSCSAT00000006401	ENSG00000213316_LTC4S
ENSBTAT00000033499	XM_018045677.1	ENSOART00000015220	ENST00000342203	ENSCSAT00000017113	ENSG00000117155_SSX2IP
ENSBTAT00000004899	XM_013975209.2	ENSOART00000012142	ENST00000320776	ENSCSAT00000019792	ENSG00000186222_BLOC1S4
ENSBTAT00000024840	XM_005683699.3	ENSOART00000014645	ENST00000381750	ENSCSAT00000006873	ENSG00000120158_RCL1
ENSBTAT00000011303	XM_018043597.1	ENSOART00000015827	ENST00000527174	ENSCSAT00000005819	ENSG00000162241_SLC25A45
ENSBTAT00000020640	XM_005690576.3	ENSOART00000012681	ENST00000366928	ENSCSAT00000013837	ENSG00000143353_LYPLAL1
ENSBTAT00000027434	XM_018065245.1	ENSOART00000009415	ENST00000315323	ENSCSAT00000019112	ENSG00000180340_FZD2
ENSBTAT00000054758	XM_018057584.1	ENSOART00000000732	ENST00000602725		ENSG00000184007_PTP4A2
ENSBTAT00000009974	XM_005694239.3	ENSOART00000019033	ENST00000304222	ENSCSAT00000006599	ENSG00000170425_ADORA2B
ENSBTAT00000038564	XM_018047642.1	ENSOART00000017637	ENST00000338010	ENSCSAT00000003439	ENSG00000161642_ZNF385A
			ENST00000340363	ENSCSAT00000000437	ENSG00000187997_C17orf99
ENSBTAT00000023404	XM_005699636.3	ENSOART00000015479	ENST00000281441	ENSCSAT00000000227	ENSG00000151715_TMEM45B
ENSBTAT00000022629	XM_018043920.1	ENSOART00000014076	ENST00000359276	ENSCSAT00000012914	ENSG00000047230_CTPS2
ENSBTAT00000022860	XM_013973145.2	ENSOART00000012014	ENST00000319359	ENSCSAT00000007501	ENSG00000128886_ELL3
ENSBTAT00000009560	XM_005691356.3	ENSOART00000003442	ENST00000424014	ENSCSAT00000000074	ENSG00000111361_EIF2B1
ENSBTAT00000029686	XM_018061410.1	ENSOART00000018088	ENST00000537468	ENSCSAT00000016581	ENSG00000151948_GLT1D1
ENSBTAT00000015077	XM_005693424.3	ENSOART00000000952	ENST00000361842	ENSCSAT00000010454	ENSG00000132530_XAF1
ENSBTAT00000007764	XM_018045220.1	ENSOART00000011314	ENST00000349533	ENSCSAT00000017179	ENSG00000116678_LEPR
ENSBTAT00000003668	XM_018061578.1	ENSOART00000009897	ENST00000302085	ENSCSAT00000001458	ENSG00000170365_SMAD1
ENSBTAT00000023104	XM_005676117.3	ENSOART00000008655	ENST00000259056	ENSCSAT00000014038	ENSG00000136542_GALNT5
ENSBTAT00000010317	XM_005678082.3	ENSOART00000018511	ENST00000436063		ENSG00000067334_DNTTIP2
ENSBTAT00000022497	XM_005680258.3	ENSOART00000005453	ENST00000257861	ENSCSAT00000002626	ENSG00000135407_AVIL
ENSBTAT00000038286	XM_018060495.1	ENSOART00000020130	ENST00000403263	ENSCSAT00000008340	ENSG00000114933_INO80D
ENSBTAT00000005222	XM_013965716.2		ENST00000297109	ENSCSAT00000008898	ENSG00000164576_SAP30L
	XM_018040722.1		ENST00000447648	ENSCSAT00000015845	ENSG00000205356_TECPR1
ENSBTAT00000018290	XM_005679196.2	ENSOART00000006424	ENST00000381539	ENSCSAT00000012995	ENSG00000187258_NPSR1
ENSBTAT00000015301	XM_018058904.1	ENSOART00000022225	ENST00000258383	ENSCSAT00000005786	ENSG00000135900_MRPL44
ENSBTAT00000025637	XM_013968675.2	ENSOART00000018973	ENST00000397062	ENSCSAT00000012447	ENSG00000116044_NFE2L2
ENSBTAT00000020564	XM_018045450.1	ENSOART00000012926	ENST00000370950	ENSCSAT00000017158	ENSG00000116754_SRSF11
ENSBTAT00000026562	XM_018052476.1	ENSOART00000009243	ENST00000253270	ENSCSAT00000004670	ENSG00000130958_SLC35D2
ENSBTAT00000004780	XM_018051934.1	ENSOART00000015307	ENST00000380672	ENSCSAT00000007356	ENSG00000173068_BNC2
ENSBTAT00000027586	XM_005690672.3	ENSOART00000020105	ENST00000376585	ENSCSAT00000017734	ENSG00000177000_MTHFR
ENSBTAT00000046471	XM_018046043.1	ENSOART00000022106	ENST00000381916	ENSCSAT00000006589	ENSG00000061938_TNK2
ENSBTAT00000033494	XM_018046869.1	ENSOART00000013634	ENST00000397560	ENSCSAT00000006322	ENSG00000006459_KDM7A
ENSBTAT00000064436	XM_018039796.1	ENSOART00000004907	ENST00000436348	ENSCSAT00000016179	ENSG00000134042_MRO
ENSBTAT00000001872	XM_018065684.1	ENSOART00000004256	ENST00000369800	ENSCSAT00000007685	ENSG00000214357_NEURL1B
ENSBTAT00000000670	XM_018039771.1	ENSOART00000008534	ENST00000592179	ENSCSAT00000015793	ENSG00000154065_ANKRD29
ENSBTAT00000003629	XM_018055315.1	ENSOART00000000097	ENST00000437390	ENSCSAT00000015131	ENSG00000198203_SULT1C2
ENSBTAT00000048277	XM_018056681.1	ENSOART00000010471	ENST00000379589	ENSCSAT00000018689	ENSG00000183722_LHFPL6
ENSBTAT00000065313	XM_005709376.3	ENSOART00000004233	ENST00000367245	ENSCSAT00000011630	ENSG00000120279_MYCT1
ENSBTAT00000027075	XM_018048342.1	ENSOART00000021178	ENST00000536562	ENSCSAT00000005468	ENSG00000170456_DENND5B
			ENST00000398472		ENSG00000198443_KRTAP4-1
ENSBTAT00000034825	XM_018065264.1	ENSOART00000010871	ENST00000331495	ENSCSAT00000001706	ENSG00000184922_FMNL1
ENSBTAT00000046842	XM_018046585.1	ENSOART00000000384	ENST00000368747	ENSCSAT00000018484	ENSG00000203784_LELP1
ENSBTAT00000010730	XM_005678151.3	ENSOART00000015959	ENST00000234701	ENSCSAT00000017099	ENSG00000016490_CLCA1
ENSBTAT00000023667	XM_005683769.3	ENSOART00000014376	ENST00000382276	ENSCSAT00000006681	ENSG00000137090_DMRT1
ENSBTAT00000020817	XM_013966294.2	ENSOART00000006669	ENST00000265132	ENSCSAT00000010668	ENSG00000106927_AMBP
ENSBTAT00000042923	XM_018063066.1	ENSOART00000001460	ENST00000376325		ENSG00000187902_SHISA7
ENSBTAT00000045750	XM_005675264.3	ENSOART00000022486	ENST00000318631	ENSCSAT00000011526	ENSG00000180834_MAP6D1
ENSBTAT00000029218	XM_018061363.1	ENSOART00000016610	ENST00000282272	ENSCSAT00000009625	ENSG00000065413_ANKRD44
ENSBTAT00000006622	XM_018043879.1	ENSOART00000003748	ENST00000371884	ENSCSAT00000017286	ENSG00000162367_TAL1
ENSBTAT00000049793	XM_018046438.1	ENSOART00000012824	ENST00000367876	ENSCSAT00000008873	ENSG00000143157_POGK
ENSBTAT00000019897	XM_018038737.1	ENSOART00000000455	ENST00000394967	ENSCSAT00000012743	ENSG00000217236_SP9
ENSBTAT00000005039	XM_005688214.3	ENSOART00000005845	ENST00000360652	ENSCSAT00000011457	ENSG00000132635_PCED1A
ENSBTAT00000011485	XM_018058900.1	ENSOART00000022229	ENST00000447280	ENSCSAT00000005781	ENSG00000135919_SERPINE2
ENSBTAT00000014273	XM_018042948.1	ENSOART00000002119	ENST00000380525	ENSCSAT00000007634	ENSG00000110619_CARS
ENSBTAT00000010916	XM_018056541.1	ENSOART00000015041	ENST00000382758	ENSCSAT00000016219	ENSG00000150456_EEF1AKMT1
ENSBTAT00000028036	XM_018059530.1	ENSOART00000012442	ENST00000278175	ENSCSAT00000002587	ENSG00000148926_ADM
ENSBTAT00000006290	XM_018060857.1	ENSOART00000020185	ENST00000367274	ENSCSAT00000012232	ENSG00000077152_UBE2T
ENSBTAT00000043564	XM_005675636.3	ENSOART00000011629	ENST00000291526	ENSCSAT00000006184	ENSG00000160181_TFF2
ENSBTAT00000006711	XM_018050170.1	ENSOART00000022379	ENST00000265022	ENSCSAT00000012145	ENSG00000058866_DGKG
ENSBTAT00000064359	XM_005699280.3	ENSOART00000011242	ENST00000339284	ENSCSAT00000007557	ENSG00000178217_SH2D4B
ENSBTAT00000061629	XM_018055134.1	ENSOART00000009489	ENST00000634879	ENSCSAT00000017632	ENSG00000075151_EIF4G3
ENSBTAT00000026955	XM_005701362.3	ENSOART00000008112	ENST00000400841	ENSCSAT00000016477	ENSG00000205755_CRLF2
ENSBTAT00000007217	XM_018066757.1	ENSOART00000017250	ENST00000343546	ENSCSAT00000013378	ENSG00000178467_P4HTM
ENSBTAT00000019336	XM_005695487.3	ENSOART00000014833	ENST00000297283	ENSCSAT00000013573	ENSG00000164708_PGAM2
ENSBTAT00000019199	XM_005701709.3	ENSOART00000011081	ENST00000376257	ENSCSAT00000006469	ENSG00000137310_TCF19
ENSBTAT00000017724	XM_018051333.1	ENSOART00000000098	ENST00000444449	ENSCSAT00000003803	ENSG00000072958_AP1M1
	XM_013975207.2	ENSOART00000003685	ENST00000369847	ENSCSAT00000003394	ENSG00000156374_PCGF6
ENSBTAT00000012405	XM_018046821.1	ENSOART00000020534	ENST00000320356	ENSCSAT00000005083	ENSG00000106462_EZH2
ENSBTAT00000016473	XM_018047870.1	ENSOART00000014893	ENST00000382751	ENSCSAT00000007542	ENSG00000142207_URB1
ENSBTAT00000025568	XM_013972823.2	ENSOART00000012605	ENST00000382038	ENSCSAT00000015212	ENSG00000113456_RAD1
ENSBTAT00000064811	XM_018059923.1	ENSOART00000020499	ENST00000236918	ENSCSAT00000011995	ENSG00000118194_TNNT2
ENSBTAT00000037887	XM_013976746.2	ENSOART00000005021	ENST00000245564	ENSCSAT00000000054	ENSG00000125459_MSTO1
ENSBTAT00000011498	XM_018041446.1	ENSOART00000001562	ENST00000361432		ENSG00000119979_FAM45A
ENSBTAT00000022625	XM_018040100.1	ENSOART00000006357	ENST00000283025	ENSCSAT00000006514	ENSG00000153060_TEKT5
