ENSG,ω_lower,ω,ω_upper,ω0_lower,ω0,ω0_upper,category,TR_ID_Homo_sapiens,TR_ID_Chlorocebus_sabaeus,TR_ID_Bos_taurus,TR_ID_Equus_caballus,TR_ID_Ovis_aries,TR_ID_Capra_hircus,TR_ID_Canis_familiaris
ENSG00000001630_CYP51A1,0.11611300000000001,0.130659,0.14765,0.15052100000000002,0.168794,0.187165,epistasis,ENST00000003100,ENSCSAT00000010644,ENSBTAT00000002582,ENSECAT00000007052,ENSOART00000019025,XM_018047439.1,ENSCAFT00000003074
ENSG00000001631_KRIT1,0.0483854,0.0554672,0.0633347,0.07348560000000001,0.0858798,0.0998796,unclassified,ENST00000340022,ENSCSAT00000010663,ENSBTAT00000003566,ENSECAT00000018262,ENSOART00000019335,XM_013963122.2,ENSCAFT00000045366
ENSG00000002016_RAD52,0.302859,0.33232399999999995,0.365591,0.316193,0.343014,0.37162399999999995,nearly-neutral,ENST00000358495,ENSCSAT00000009762,ENSBTAT00000055617,ENSECAT00000019971,ENSOART00000013558,XM_018048672.1,ENSCAFT00000025077
ENSG00000002330_BAD,0.222642,0.260338,0.307508,0.26489,0.310514,0.364115,unclassified,ENST00000394532,ENSCSAT00000005199,ENSBTAT00000016610,ENSECAT00000015614,ENSOART00000006828,XM_018042791.1,ENSCAFT00000038335
ENSG00000002549_LAP3,0.11742799999999999,0.128682,0.142022,0.138503,0.15423,0.17206400000000002,unclassified,ENST00000226299,ENSCSAT00000014589,ENSBTAT00000007860,ENSECAT00000019690,ENSOART00000003717,XM_018049319.1,ENSCAFT00000023970
ENSG00000002587_HS3ST1,0.12600699999999998,0.155251,0.32514099999999996,0.12299500000000001,0.145794,0.167392,nearly-neutral,ENST00000002596,ENSCSAT00000019789,ENSBTAT00000009799,ENSECAT00000002405,ENSOART00000008640,XM_018049730.1,ENSCAFT00000024502
ENSG00000002745_WNT16,0.0808808,0.0942002,0.10596199999999999,0.109444,0.12728699999999998,0.146625,epistasis,ENST00000222462,ENSCSAT00000008718,ENSBTAT00000003825,ENSECAT00000007025,ENSOART00000019940,XM_013963414.2,ENSCAFT00000005620
ENSG00000002746_HECW1,0.14594400000000002,0.155617,0.166488,0.158686,0.168863,0.17874,unclassified,ENST00000395891,ENSCSAT00000013510,ENSBTAT00000028268,ENSECAT00000011302,ENSOART00000018773,XM_018047001.1,ENSCAFT00000005626
ENSG00000002822_MAD1L1,0.128053,0.141527,0.153542,0.1499,0.163973,0.177459,unclassified,ENST00000399654,ENSCSAT00000015678,ENSBTAT00000003210,ENSECAT00000014907,Null,XM_018040283.1,ENSCAFT00000026097
ENSG00000002834_LASP1,0.060068399999999994,0.0746793,0.0916192,0.0677719,0.08792489999999999,0.113659,nearly-neutral,ENST00000318008,ENSCSAT00000000679,ENSBTAT00000043205,ENSECAT00000018410,ENSOART00000010955,XM_018064990.1,ENSCAFT00000044875
ENSG00000002919_SNX11,0.172802,0.19589700000000002,0.2246,0.222487,0.24878699999999998,0.281545,unclassified,ENST00000393405,ENSCSAT00000000564,ENSBTAT00000027082,ENSECAT00000008386,ENSOART00000007936,XM_005693707.3,ENSCAFT00000026645
ENSG00000002933_TMEM176A,0.514415,0.5795600000000001,0.6696979999999999,0.429989,0.46633,0.505988,adaptive,ENST00000484928,ENSCSAT00000004891,ENSBTAT00000016021,ENSECAT00000022976,ENSOART00000001890,XM_018046762.1,ENSCAFT00000045768
ENSG00000003056_M6PR,0.125667,0.14410599999999998,0.166104,0.149273,0.174609,0.200567,unclassified,ENST00000000412,ENSCSAT00000007581,ENSBTAT00000024233,ENSECAT00000023553,ENSOART00000001484,XM_005680885.3,ENSCAFT00000039426
ENSG00000003096_KLHL13,0.0369286,0.0447728,0.0532198,0.0473111,0.058138999999999996,0.0733925,unclassified,ENST00000469946,ENSCSAT00000016367,ENSBTAT00000000639,ENSECAT00000008575,ENSOART00000018321,Null,ENSCAFT00000049060
ENSG00000003137_CYP26B1,0.0221743,0.026911,0.0323833,0.030936,0.03841819999999999,0.047548,unclassified,ENST00000001146,ENSCSAT00000013391,ENSBTAT00000016198,ENSECAT00000024404,ENSOART00000012596,XM_018055050.1,ENSCAFT00000014311
ENSG00000003147_ICA1,0.14269300000000001,0.15843,0.18035,0.154196,0.178117,0.200322,nearly-neutral,ENST00000422063,ENSCSAT00000011259,ENSBTAT00000001057,ENSECAT00000012053,ENSOART00000006574,XM_018047368.1,ENSCAFT00000003545
ENSG00000003249_DBNDD1,0.164527,0.206181,0.26427399999999995,0.23460100000000003,0.271454,0.307942,unclassified,ENST00000568838,ENSCSAT00000000714,ENSBTAT00000027077,ENSECAT00000020299,ENSOART00000016545,XM_018061928.1,ENSCAFT00000031500
ENSG00000003393_ALS2,0.11859000000000001,0.126735,0.134293,0.15248299999999998,0.162876,0.17482899999999998,epistasis,ENST00000264276,Null,ENSBTAT00000060956,ENSECAT00000010666,ENSOART00000018995,XM_018060852.1,ENSCAFT00000019642
ENSG00000003402_CFLAR,0.391807,0.42696000000000006,0.459004,0.367933,0.393662,0.41726199999999997,unclassified,ENST00000309955,ENSCSAT00000008885,ENSBTAT00000014607,ENSECAT00000022842,ENSOART00000018354,XM_018054190.1,ENSCAFT00000019278
ENSG00000003436_TFPI,0.41167700000000007,0.465433,0.522428,0.374037,0.40418000000000004,0.435637,unclassified,ENST00000392365,ENSCSAT00000010560,Null,ENSECAT00000023342,ENSOART00000018004,XM_005675872.3,ENSCAFT00000047260
ENSG00000003509_NDUFAF7,0.188195,0.20746599999999998,0.231886,0.218915,0.240515,0.262281,unclassified,ENST00000002125,ENSCSAT00000010291,ENSBTAT00000001470,ENSECAT00000014947,ENSOART00000010266,XM_005686495.2,ENSCAFT00000009871
ENSG00000003756_RBM5,0.0318889,0.0370326,0.042676900000000004,0.0447861,0.054260300000000004,0.06530319999999999,unclassified,ENST00000347869,ENSCSAT00000012492,ENSBTAT00000008305,ENSECAT00000022155,ENSOART00000011881,XM_005695937.3,ENSCAFT00000017309
ENSG00000003987_MTMR7,0.0647735,0.0719023,0.0803757,0.0992627,0.11351099999999999,0.127445,epistasis,ENST00000180173,ENSCSAT00000014865,ENSBTAT00000055365,ENSECAT00000011468,ENSOART00000010147,XM_018041918.1,ENSCAFT00000011103
ENSG00000003989_SLC7A2,0.113811,0.12372000000000001,0.134434,0.126917,0.14135699999999998,0.156244,unclassified,ENST00000004531,ENSCSAT00000014845,ENSBTAT00000013304,ENSECAT00000018159,ENSOART00000010094,XM_018042020.1,ENSCAFT00000011153
ENSG00000004059_ARF5,0.00768049,0.013365,0.021390700000000002,0.0105815,0.0219145,0.037008,unclassified,ENST00000000233,ENSCSAT00000008296,ENSBTAT00000012326,ENSECAT00000021524,ENSOART00000001994,XM_005679429.3,ENSCAFT00000050134
ENSG00000004139_SARM1,0.07907180000000001,0.08866089999999999,0.0992058,0.0994081,0.111675,0.12687,epistasis,ENST00000585482,ENSCSAT00000005341,ENSBTAT00000003645,ENSECAT00000004618,ENSOART00000019725,XM_018064294.1,ENSCAFT00000029647
ENSG00000004142_POLDIP2,0.0526077,0.0657932,0.08022589999999999,0.06474099999999999,0.07979910000000001,0.0970516,nearly-neutral,ENST00000540200,ENSCSAT00000005400,ENSBTAT00000010675,ENSECAT00000014913,ENSOART00000019296,XM_005693352.3,ENSCAFT00000029631
ENSG00000004399_PLXND1,0.0785572,0.08450369999999999,0.08959450000000001,0.103426,0.11308,0.123806,epistasis,ENST00000324093,ENSCSAT00000007210,ENSBTAT00000002375,ENSECAT00000010133,ENSOART00000014844,XM_018067223.1,ENSCAFT00000007454
ENSG00000004455_AK2,0.0997604,0.12097000000000001,0.144837,0.10077799999999999,0.12300499999999999,0.148566,nearly-neutral,ENST00000354858,Null,ENSBTAT00000023406,ENSECAT00000025632,ENSOART00000022735,XM_005676683.2,ENSCAFT00000016515
ENSG00000004468_CD38,0.502346,0.552712,0.609504,0.380183,0.41562299999999996,0.445696,adaptive,ENST00000226279,ENSCSAT00000014516,ENSBTAT00000018042,ENSECAT00000022117,ENSOART00000001528,XM_005681912.3,ENSCAFT00000043207
ENSG00000004478_FKBP4,0.135907,0.152206,0.170185,0.149623,0.169701,0.187128,nearly-neutral,ENST00000001008,ENSCSAT00000009393,ENSBTAT00000009998,ENSECAT00000022092,ENSOART00000012347,XM_018048639.1,ENSCAFT00000024736
ENSG00000004487_KDM1A,0.0196707,0.0241149,0.0290415,0.0300284,0.0384029,0.0461347,unclassified,ENST00000400181,ENSCSAT00000017614,ENSBTAT00000012501,ENSECAT00000021147,ENSOART00000008407,XM_005676879.3,ENSCAFT00000021220
ENSG00000004534_RBM6,0.18471300000000002,0.19981500000000002,0.214038,0.22344499999999998,0.24175300000000002,0.26066300000000003,epistasis,ENST00000266022,ENSCSAT00000012511,ENSBTAT00000008300,ENSECAT00000016324,ENSOART00000012102,XM_013973591.2,ENSCAFT00000017370
ENSG00000004660_CAMKK1,0.0924869,0.10282999999999999,0.11434100000000001,0.117283,0.13355999999999998,0.151538,epistasis,ENST00000381769,ENSCSAT00000011591,ENSBTAT00000009431,ENSECAT00000009371,ENSOART00000019393,XM_018064433.1,ENSCAFT00000030794
ENSG00000004700_RECQL,0.142182,0.157903,0.178149,0.174807,0.193395,0.210233,unclassified,ENST00000444129,ENSCSAT00000006020,ENSBTAT00000028079,ENSECAT00000026738,ENSOART00000022152,XM_005680793.3,ENSCAFT00000019449
ENSG00000004766_VPS50,0.0415388,0.0482828,0.054141800000000004,0.062450099999999995,0.0730112,0.0834846,unclassified,ENST00000305866,ENSCSAT00000010736,ENSBTAT00000018952,ENSECAT00000024807,ENSOART00000000216,XM_005678922.2,ENSCAFT00000003203
ENSG00000004776_HSPB6,0.0849908,0.10381300000000002,0.12726400000000002,0.109127,0.135215,0.16526400000000002,unclassified,ENST00000004982,ENSCSAT00000002373,ENSBTAT00000024749,ENSECAT00000014363,ENSOART00000005482,XM_013971220.2,ENSCAFT00000010947
ENSG00000004799_PDK4,0.0982678,0.113908,0.12776300000000002,0.11680399999999999,0.133643,0.151321,unclassified,ENST00000005178,ENSCSAT00000011067,ENSBTAT00000038879,ENSECAT00000008745,ENSOART00000003809,XM_005678949.3,ENSCAFT00000003358
ENSG00000004809_SLC22A16,0.454905,0.498921,0.539566,0.40019499999999997,0.43204,0.45863999999999994,unclassified,ENST00000368919,ENSCSAT00000013587,ENSBTAT00000028664,ENSECAT00000009024,ENSOART00000010900,XM_013966433.2,ENSCAFT00000006259
ENSG00000004838_ZMYND10,0.166121,0.18429600000000002,0.203179,0.188567,0.21009099999999997,0.235242,unclassified,ENST00000231749,ENSCSAT00000012293,ENSBTAT00000027925,ENSECAT00000012409,ENSOART00000010420,XM_005696101.3,ENSCAFT00000016881
ENSG00000004846_ABCB5,0.228068,0.242312,0.257877,0.288987,0.307725,0.323937,epistasis,ENST00000404938,ENSCSAT00000011674,ENSBTAT00000031698,ENSECAT00000013075,ENSOART00000011070,XM_005679028.2,ENSCAFT00000004202
ENSG00000004848_ARX,0.0524009,0.0638021,0.0768636,0.06834689999999999,0.0851325,0.102987,unclassified,ENST00000379044,ENSCSAT00000012406,Null,ENSECAT00000023451,ENSOART00000019372,XM_018044003.1,ENSCAFT00000021479
ENSG00000004864_SLC25A13,0.0764097,0.085773,0.0951821,0.09089169999999999,0.10356300000000002,0.11732999999999999,unclassified,ENST00000416240,ENSCSAT00000011090,ENSBTAT00000004912,ENSECAT00000015075,ENSOART00000004448,XM_018047391.1,ENSCAFT00000003424
ENSG00000004866_ST7,0.027327999999999998,0.0360791,0.04668119999999999,0.013250999999999999,0.019562599999999996,0.027704400000000004,unclassified,ENST00000265437,ENSCSAT00000008988,ENSBTAT00000053015,ENSECAT00000009401,ENSOART00000020788,XM_018047189.1,ENSCAFT00000005483
ENSG00000004897_CDC27,0.034892,0.0423875,0.0520894,0.0609091,0.073156,0.09283630000000001,unclassified,ENST00000531206,ENSCSAT00000001837,ENSBTAT00000003533,ENSECAT00000010389,ENSOART00000012670,XM_018065303.1,ENSCAFT00000021765
ENSG00000004939_SLC4A1,0.23445100000000002,0.251692,0.26916999999999996,0.186348,0.205434,0.220394,adaptive,ENST00000262418,ENSCSAT00000001542,ENSBTAT00000002116,ENSECAT00000002131,ENSOART00000008521,XM_018065222.1,ENSCAFT00000022598
ENSG00000004948_CALCR,0.22256399999999998,0.24328200000000003,0.262594,0.22048299999999998,0.242524,0.2623,nearly-neutral,ENST00000359558,ENSCSAT00000010752,ENSBTAT00000023201,ENSECAT00000003360,ENSOART00000000767,XM_018047421.1,ENSCAFT00000003225
ENSG00000004961_HCCS,0.13923,0.155337,0.177272,0.16480799999999998,0.188904,0.21189000000000002,unclassified,ENST00000321143,ENSCSAT00000013355,ENSBTAT00000016072,ENSECAT00000009781,ENSOART00000011704,XM_005701119.3,ENSCAFT00000018383
ENSG00000004975_DVL2,0.0352093,0.0410899,0.0472456,0.060589199999999996,0.07303380000000001,0.0863803,unclassified,ENST00000005340,ENSCSAT00000010014,ENSBTAT00000004002,ENSECAT00000004394,ENSOART00000011761,XM_018064548.1,ENSCAFT00000025527
ENSG00000005001_PRSS22,0.196534,0.217522,0.24386999999999998,0.228892,0.258319,0.2845,unclassified,ENST00000161006,ENSCSAT00000008496,ENSBTAT00000021967,ENSECAT00000018491,ENSOART00000000160,XM_018041052.1,ENSCAFT00000012151
ENSG00000005007_UPF1,0.00761219,0.0094987,0.011982799999999998,0.011637200000000002,0.015865399999999998,0.020708599999999997,unclassified,ENST00000599848,ENSCSAT00000003309,ENSBTAT00000027868,ENSECAT00000011373,ENSOART00000011687,XM_018051458.1,ENSCAFT00000023180
ENSG00000005020_SKAP2,0.20577600000000001,0.231337,0.262508,0.192406,0.214265,0.24036799999999997,nearly-neutral,ENST00000345317,ENSCSAT00000012295,ENSBTAT00000046037,ENSECAT00000021593,ENSOART00000010830,XM_013963339.2,ENSCAFT00000004676
ENSG00000005022_SLC25A5,0.05427919999999999,0.0705395,0.0894651,0.08388739999999999,0.10856199999999999,0.13680499999999998,unclassified,ENST00000317881,ENSCSAT00000016456,ENSBTAT00000064551,ENSECAT00000014297,ENSOART00000017722,Null,ENSCAFT00000029209
ENSG00000005059_MCUB,0.238423,0.268958,0.298662,0.336334,0.363929,0.39753,epistasis,ENST00000394650,ENSCSAT00000001968,ENSBTAT00000017276,ENSECAT00000017153,ENSOART00000006577,XM_018049227.1,ENSCAFT00000018122
ENSG00000005073_HOXA11,0.056536800000000005,0.07470030000000001,0.0925483,0.08455689999999999,0.108672,0.13303199999999998,unclassified,ENST00000006015,ENSCSAT00000012402,ENSBTAT00000019611,ENSECAT00000013760,Null,XM_018047092.1,ENSCAFT00000004754
ENSG00000005100_DHX33,0.086999,0.097066,0.10669200000000001,0.114672,0.127849,0.143921,epistasis,ENST00000225296,ENSCSAT00000010826,ENSBTAT00000016932,ENSECAT00000010791,ENSOART00000003511,XM_005693437.3,ENSCAFT00000024626
ENSG00000005102_MEOX1,0.143679,0.161975,0.180043,0.21336,0.24523699999999998,0.274696,epistasis,ENST00000318579,ENSCSAT00000001479,ENSBTAT00000054676,ENSECAT00000014165,ENSOART00000006265,XM_005693901.3,ENSCAFT00000048933
ENSG00000005108_THSD7A,0.0977449,0.105209,0.11178900000000001,0.141841,0.15152100000000002,0.162438,epistasis,ENST00000423059,ENSCSAT00000011373,ENSBTAT00000010106,ENSECAT00000000435,ENSOART00000007511,XM_013963159.2,ENSCAFT00000049708
ENSG00000005156_LIG3,0.17796199999999998,0.191363,0.20498400000000003,0.186533,0.20336600000000002,0.21743600000000002,nearly-neutral,ENST00000378526,ENSCSAT00000004366,ENSBTAT00000024875,ENSECAT00000017866,ENSOART00000008923,XM_018064230.1,ENSCAFT00000048097
ENSG00000005175_RPAP3,0.22521799999999997,0.24420100000000003,0.267266,0.260932,0.279487,0.30036,unclassified,ENST00000005386,ENSCSAT00000004747,ENSBTAT00000024878,ENSECAT00000021486,ENSOART00000021185,XM_018047886.1,ENSCAFT00000014669
ENSG00000005187_ACSM3,0.228406,0.248365,0.270862,0.255126,0.27710300000000004,0.301687,unclassified,ENST00000289416,ENSCSAT00000005650,ENSBTAT00000008455,ENSECAT00000007072,ENSOART00000014311,XM_018040677.1,ENSCAFT00000028541
ENSG00000005189_REXO5,0.3825,0.41258999999999996,0.445421,0.412371,0.441565,0.47215,nearly-neutral,ENST00000261377,ENSCSAT00000005565,ENSBTAT00000008458,ENSECAT00000020076,ENSOART00000014580,XM_005697564.3,ENSCAFT00000028467
ENSG00000005194_CIAPIN1,0.186227,0.207961,0.23299299999999998,0.21695799999999998,0.243752,0.272038,unclassified,ENST00000394391,ENSCSAT00000002942,ENSBTAT00000002418,ENSECAT00000000090,ENSOART00000000213,XM_005692022.3,ENSCAFT00000013902
ENSG00000005206_SPPL2B,0.133503,0.148056,0.16267,0.13764500000000002,0.155797,0.17491500000000001,nearly-neutral,ENST00000613503,ENSCSAT00000009677,ENSBTAT00000035792,ENSECAT00000015714,ENSOART00000015175,XM_018050772.1,ENSCAFT00000046407
ENSG00000005238_FAM214B,0.256293,0.288081,0.326017,0.24548000000000003,0.276577,0.311877,nearly-neutral,ENST00000603301,ENSCSAT00000008383,ENSBTAT00000015139,ENSECAT00000019337,ENSOART00000013191,XM_018052115.1,ENSCAFT00000003189
ENSG00000005243_COPZ2,0.147256,0.179005,0.214077,0.157585,0.192589,0.231317,nearly-neutral,ENST00000621465,ENSCSAT00000000570,ENSBTAT00000056479,ENSECAT00000026387,ENSOART00000008046,XM_018064949.1,ENSCAFT00000026638
ENSG00000005249_PRKAR2B,0.0501326,0.06106419999999999,0.07460239999999999,0.07197410000000001,0.089598,0.107615,unclassified,ENST00000265717,ENSCSAT00000009486,ENSBTAT00000019916,ENSECAT00000012415,ENSOART00000005398,XM_018047230.1,ENSCAFT00000006358
ENSG00000005339_CREBBP,0.0629543,0.0673596,0.0725283,0.08894010000000001,0.0961468,0.103897,epistasis,ENST00000262367,ENSCSAT00000007732,ENSBTAT00000005092,ENSECAT00000026827,ENSOART00000002714,XM_018040244.1,ENSCAFT00000030570
ENSG00000005379_TSPOAP1,0.311202,0.327436,0.343556,0.348436,0.363877,0.378897,epistasis,ENST00000343736,ENSCSAT00000003746,ENSBTAT00000015433,ENSECAT00000012973,ENSOART00000010528,XM_018064114.1,ENSCAFT00000027721
ENSG00000005381_MPO,0.199405,0.216656,0.233711,0.147196,0.161044,0.175831,adaptive,ENST00000225275,ENSCSAT00000003712,ENSBTAT00000016989,ENSECAT00000007644,ENSOART00000010111,XM_018063571.1,ENSCAFT00000027699
ENSG00000005421_PON1,0.28179,0.310392,0.341956,0.262761,0.288138,0.316533,nearly-neutral,ENST00000222381,ENSCSAT00000011039,ENSBTAT00000020790,ENSECAT00000000304,ENSOART00000003154,XM_005678946.3,ENSCAFT00000003339
ENSG00000005436_GCFC2,0.369651,0.40062800000000004,0.43072,0.41311499999999995,0.440367,0.46584799999999993,unclassified,ENST00000321027,ENSCSAT00000013948,ENSBTAT00000010591,ENSECAT00000000505,ENSOART00000001114,XM_018055288.1,ENSCAFT00000012988
ENSG00000005448_WDR54,0.161394,0.181429,0.203271,0.237327,0.265803,0.29386599999999996,epistasis,ENST00000348227,ENSCSAT00000013673,ENSBTAT00000000617,ENSECAT00000020000,ENSOART00000013740,XM_005686334.3,ENSCAFT00000013583
ENSG00000005469_CROT,0.2478,0.270662,0.294653,0.23245100000000002,0.253015,0.273518,nearly-neutral,ENST00000419147,ENSCSAT00000010467,ENSBTAT00000028699,ENSECAT00000009328,ENSOART00000015276,XM_005679066.3,ENSCAFT00000002881
ENSG00000005471_ABCB4,0.14319300000000001,0.152636,0.163183,0.182424,0.19456600000000002,0.208538,epistasis,ENST00000265723,Null,ENSBTAT00000007432,Null,Null,XM_018047295.1,ENSCAFT00000002889
ENSG00000005483_KMT2E,0.147927,0.157081,0.16672,0.16887,0.180492,0.191659,epistasis,ENST00000311117,ENSCSAT00000009649,ENSBTAT00000012129,ENSECAT00000018531,ENSOART00000002492,XM_018047246.1,ENSCAFT00000006618
ENSG00000005486_RHBDD2,0.162578,0.180506,0.199938,0.207878,0.234604,0.260281,epistasis,ENST00000006777,ENSCSAT00000016249,ENSBTAT00000063604,ENSECAT00000022496,ENSOART00000014549,XM_018040863.1,ENSCAFT00000021273
ENSG00000005513_SOX8,0.0934684,0.105584,0.117374,0.125568,0.145628,0.16804000000000002,epistasis,ENST00000293894,ENSCSAT00000009979,ENSBTAT00000027633,ENSECAT00000017195,ENSOART00000015753,XM_018040569.1,ENSCAFT00000047694
ENSG00000005700_IBTK,0.210419,0.223262,0.237821,0.24684899999999999,0.260046,0.27713699999999997,epistasis,ENST00000306270,ENSCSAT00000015495,ENSBTAT00000038116,ENSECAT00000015693,ENSOART00000007892,XM_018052914.1,ENSCAFT00000004596
ENSG00000005810_MYCBP2,0.0333077,0.035756199999999995,0.0380227,0.050664,0.054539,0.058581100000000004,unclassified,ENST00000544440,ENSCSAT00000015677,ENSBTAT00000025100,ENSECAT00000013234,ENSOART00000017799,XM_018056490.1,ENSCAFT00000044597
ENSG00000005812_FBXL3,0.042825300000000004,0.0521582,0.0621742,0.0540995,0.07220069999999999,0.0883551,unclassified,ENST00000355619,ENSCSAT00000015683,ENSBTAT00000025095,ENSECAT00000011469,ENSOART00000017485,XM_018056495.1,ENSCAFT00000008160
ENSG00000005844_ITGAL,0.36157,0.381454,0.400574,0.31185100000000004,0.32673800000000003,0.34083,adaptive,ENST00000356798,ENSCSAT00000003918,ENSBTAT00000009348,ENSECAT00000010058,ENSOART00000006992,NM_001314316.1,ENSCAFT00000026293
ENSG00000005882_PDK2,0.0299007,0.0375724,0.045898800000000003,0.0366109,0.048931199999999994,0.0629021,unclassified,ENST00000503176,ENSCSAT00000003244,ENSBTAT00000011523,ENSECAT00000024731,ENSOART00000005785,XM_005693678.3,ENSCAFT00000026866
ENSG00000005884_ITGA3,0.211839,0.22601500000000002,0.24568600000000002,0.165122,0.17966300000000002,0.192436,adaptive,ENST00000007722,ENSCSAT00000003239,ENSBTAT00000025974,ENSECAT00000017177,ENSOART00000005904,XM_018064902.1,ENSCAFT00000026903
ENSG00000005893_LAMP2,0.423465,0.45814099999999996,0.497601,0.313938,0.337663,0.362498,adaptive,ENST00000434600,ENSCSAT00000016438,ENSBTAT00000065411,ENSECAT00000019789,ENSOART00000014331,XM_005700340.3,ENSCAFT00000029391
ENSG00000005961_ITGA2B,0.29038400000000003,0.315914,0.332602,0.284715,0.300551,0.315703,unclassified,ENST00000262407,ENSCSAT00000001591,ENSBTAT00000010741,ENSECAT00000022080,Null,XM_018065240.1,ENSCAFT00000022461
ENSG00000005981_ASB4,0.0747183,0.0844923,0.0962702,0.084194,0.0974367,0.115195,unclassified,ENST00000325885,ENSCSAT00000011059,ENSBTAT00000024202,ENSECAT00000023774,ENSOART00000003677,XM_005678948.3,ENSCAFT00000003352
ENSG00000006015_REX1BD,0.250717,0.30366,0.360373,0.271917,0.313637,0.358712,nearly-neutral,ENST00000358607,ENSCSAT00000003357,ENSBTAT00000036534,ENSECAT00000022805,ENSOART00000012486,XM_018051444.1,ENSCAFT00000047138
ENSG00000006016_CRLF1,0.034806199999999995,0.0425569,0.0499708,0.0495337,0.06391770000000001,0.0777914,unclassified,ENST00000392386,ENSCSAT00000003349,ENSBTAT00000010179,ENSECAT00000025557,ENSOART00000012431,XM_018051447.1,ENSCAFT00000023344
