CdsId	Chromosome	SeqLength	NbrExons	Ptot	Pn	Ps	Dtot	Dn	Ds	SitesN	SitesS	SFSnLength	SFSsLength	SFSn	SFSs
ENSG00000169302_STK32A	5	1221	13	34	21	13	7	1	6	925	296	21	13	3;1;2;1;18;1;2;1;5;2;1;1;1;1;1;1;1;1;1;1;55	2402;1;2;1;5;2;12;1;2;3;1;1;1
ENSG00000130775_THEMIS2	1	1929	6	47	27	20	33	24	9	1489	434	27	20	1;1;1;13;1;1;2;1;1;1;1;1;3;3;1;1;1;2;2;2256;2;1;1;2;1;3;3	1;1;203;1;1;1;2;1;1;114;5;64;1;32;2366;2376;1;1;256;1
ENSG00000070950_RAD18	3	1485	13	41	31	10	13	7	6	1066	419	31	10	1;1;2;1;1;1;1;4;1;3;111;1765;3;1;1;1;1;1;1;6;1;11;1;1;1;1;1;1;3;15;3	18;1;5;5;1;1;1;1;2;1
ENSG00000183309_ZNF623	8	1608	1	37	20	17	9	5	4	1140	468	20	17	6;3;1;15;1;8;16;17;9;1;1;10;5;1;1;1;1;1;5;1	12;1;1;23;1;1;1545;3;11;2;203;3;1;1;1;1;3
ENSG00000138346_DNA2	10	3180	21	66	41	25	20	12	8	2447	730	41	25	1;1;1;1;1;134;7;1;1;1;1;1;2;2;11;6;1;1;1;31;2;1;1;1;1;2;5;1;2;1;1;1;1;32;1;1;1;1;1;1;1	2;1;1;1;1;106;54;1;3;1;7;1;3;2;147;1;1;65;1;1;17;1;1835;697;34
ENSG00000132825_PPP1R3D	20	897	1	14	9	5	9	4	5	746	151	9	5	1;1;1;1;1;18;1;3;4	1;1;1;1;1
ENSG00000165152_TMEM246	9	1209	1	26	15	11	5	0	5	868	332	15	11	1;1;2;5;1;15;1;6;1;1;48;1;1;1;2	1;3;1;1;2;200;6;1;58;1;360
ENSG00000144671_SLC22A14	3	1782	10	71	42	29	32	24	8	1280	487	42	29	1;1;11;376;30;10;1;58;376;1;3;3;1;1;3;874;13;820;2;1;1;1;2;836;1;1;2;1;10;1;4;1;1;1;16;535;2;1;1;3;1282;8	1;2;2;32;1;7;1;2;2;1;5;74;872;5;1;7;9;1;2;1;1;29;3;1;2;4;1;1;8
ENSG00000138496_PARP9	3	2562	10	52	40	12	20	13	7	1752	804	40	12	1;1;1;1;3;1;1;1;1;1;1;91;1;2;1;1;4;1;2471;1;1;640;1;29;1;5;3;1;1;1;1;1;1;1;1;3;380;1;34;1	1;1;8;1;1;2;2;2;1;1;938;1
ENSG00000266472_MRPS21	1	261	2	4	4	0	1	1	0	198	63	4	0	1;48;440;44	
ENSG00000164695_CHMP4C	8	699	5	15	11	4	1	1	0	485	214	11	4	3;1;1;1;1;3;2;1;3;1;209	1;1;92;2
ENSG00000119013_NDUFB3	2	294	2	6	6	0	0	0	0	220	74	6	0	2;1;2;1;1;2	
ENSG00000101608_MYL12A	18	531	4	11	6	5	2	0	2	367	146	6	5	2;2;1;2;1;3	90;3;64;1;1
ENSG00000143450_OAZ3	1	609	6	15	11	4	58	44	14	480	129	11	4	22;1;1;2;1;1;1;1;28;1;1	1;1;2;1
ENSG00000099250_NRP1	10	2769	17	77	40	37	18	4	14	1979	790	40	37	1;1;1;1;1;1;1;1;1;1;1;548;1;1;1;22;5;1;2;40;5;1;8;1;1;1;1;1;2;2;1;37;1;1;2;1;2;2;1;1	2125;1;1;23;9;95;1;2;1;1;1;1;2;1;11;1;4;1;3;3;19;1;1798;1799;1;1;2;1;1;298;1;1423;1;1;1;37;623
ENSG00000162951_LRRTM1	2	1566	1	36	19	17	3	1	2	1324	242	19	17	1;1;1;1;1;18;1;85;1840;1;115;1;1;6;1;1;1;4;1	7;1;228;6;2;1;40;1;1;2;1;1;1;56;1;1;3
ENSG00000135720_DYNC1LI2	16	1476	13	30	14	16	8	3	5	1012	359	14	16	4;1;1;2;1;1;1;6;1;1;1;1;1;2	1;1;15;1;37;89;1;1;1;1;1;1;3;1;2;1
ENSG00000077616_NAALAD2	11	2220	19	62	39	23	9	2	7	1644	576	39	23	5;1;1;1;2;1;1;1;15;187;20;212;152;6;1;4;1;1;1;1;1;30;1;2;1;2;1;787;1;1;1;1;1;8;1;1;1;3;2	2450;1;1;9;1;1;1;1;1;1;2;10;76;1;3;136;16;1;6;1;6;1;13
ENSG00000138136_LBX1	10	843	2	18	9	9	1	1	0	705	138	9	9	1;2;1;1;1;1;1;1;1	1;43;1;1;1;647;2;1;1
ENSG00000139190_VAMP1	12	354	5	6	3	3	7	4	3	261	93	3	3	2;1;1	1;1364;1
ENSG00000095970_TREM2	6	690	5	22	18	4	4	3	1	511	179	18	4	7;281;1;1;2;1;14;3;1;3;1;25;10;2;2;1;1;1	1;3;1;1
ENSG00000129460_NGDN	14	945	11	28	21	7	5	3	2	683	262	21	7	1;5;2;1;1;1;1;2;3;3;2;1;3;1;1;1;3;1;1;67;1	1;2002;1611;1;7;3;1
ENSG00000156282_CLDN17	21	672	1	21	14	7	6	3	3	499	173	14	7	5;2;1;6;1;2;3;507;24;1;2;1;1;3	3;1;1;5;1;44;1
ENSG00000100150_DEPDC5	22	4809	42	99	50	49	31	7	24	3312	1470	50	49	4;2;2;7;1;1;1;1;1;3;1;45;6;3;1;188;1;1;1;1;164;1;5;1;46;16;16;132;1;1;1;1;1;3;1;2;1;1;5;1;1;1;1;102;1;1;12;1;1;1	1;2;1;1;2;1;1;1;1;192;1;3;112;448;3;1;20;28;1;132;1;1;1;1;45;1;2;43;2;17;1;1;1;1;1;13;2;1;1;1;1;1;1;1;49;1;2;1;1
ENSG00000231824_C18orf42	18	228	2	5	4	1	13	10	3	175	32	4	1	1;960;1;2	1
ENSG00000139908_TSSK4	14	1014	4	25	18	7	8	4	4	769	215	18	7	4;2;2;2;2;1;2;1;222;2;1;1;1;1;1;2;2;2	1;1;2;1;1;1;1
ENSG00000184992_BRI3BP	12	753	3	13	6	7	0	0	0	381	54	6	7	2;1;1;1;2;1	2;5;5;11;6;1;3
ENSG00000157017_GHRL	3	351	4	16	12	4	2	1	1	254	96	12	4	1;1;2;307;1;6;1;417;1;13;4;1	2;2;1;1
ENSG00000167074_TEF	22	909	4	13	5	8	1	0	1	702	207	5	8	1;2;1;1;1	1;1;2;1;999;90;4;1
ENSG00000099326_MZF1	19	2202	5	90	63	27	13	6	7	1541	469	63	27	2;1;1;1;1;1;1;1;3;2;10;7;1;1;1;1;1;1;20;2;1;2;1;45;1;6;1;1;1;1;1;1870;1;20;2;1;50;1;5;52;1;2;20;1;356;11;1;1;2;6;47;12;1;4;1;2;1;1037;68;8;3;1;1	1;914;18;1;1;6;11;3;2;1;1;1;1;1;966;1;1;1;1;104;1;47;1;1;7;1;2
ENSG00000171320_ESCO2	8	1803	10	52	42	10	14	4	10	1348	456	42	10	1;1;1;1;1;14;1;1;698;3;4;8;1;1;1;1;2;3;22;22;2;1;2;1;2;1;23;3;1;1;1;1;1;2;1;1;1;103;1;1;26;1	1;1;1;1;1;1;1;1;7;23
ENSG00000121410_A1BG	19	1485	8	48	38	10	21	10	11	1158	327	38	10	1;2;1;1;4;98;1;1;1;3;6;1;1;1;2;1;2;1;1;1;3;23;3;1;1;1;1;1;1;1;1;1;759;1;1;1;1;1	1;4;1;2;5;3;1;2;1;1
ENSG00000152580_IGSF10	3	7869	6	214	150	64	45	25	20	5572	2297	150	64	33;185;1;1;15;3;61;1;22;1;1;1;1;1;1;1;1;1;2;1;1;2;2;6;7;1;1;5;2;1;1;1;131;5;2;1;5;3;1;1;1;1;1;1;1;5;2;48;2;1;1;1;1;1;48;4;2;1;24;16;8;5;1;1;23;297;4;1;1;1;1;1;1;1;1;10;1;4;2;23;1;9;48;1;9;37;2;1;2;1;2;33;1;1;14;3;5;6;1;1;5;1;26;14;1;1;1;1;1;1;1;4;217;1;1;1;1;1;1;1;1;33;16;1;3;1;1;1;1;1;3;1;1;1;1;1;1;2;3;3;47;1;1363;1;2;1;1;1;3;1	1;1;744;1;2;40;15;27;26;44;1;1;181;2;175;2044;7;1035;91;18;1;1;1;67;2;1;1;1;1;10;9;1;1;19;6;1;2;1;3;1;1;2;4;2;1;1070;1;1;1;1;3;1;1;1449;1;1;1;1;1;167;85;943;1;58
ENSG00000148700_ADD3	10	2118	14	53	36	17	5	2	3	1584	534	36	17	3;89;1;1;1;1;2;1;2;1;1;1;1;1;1;1;2;6;1;1;1;1;1;1;19;3;1;1;2;2;1;1;1;83;3;1	1;1;17;1;2;1;2;2;2;1;4;1;1;1;3;1;1
ENSG00000137198_GMPR	6	1035	9	35	23	12	9	1	8	753	282	23	12	1;1;1;1;1;2;1;3;1;1;2;1;2;1;1;2;1471;1;2;13;1;1;1	1;1;1;40;447;1;14;1;1;1;11;2
ENSG00000198326_TMEM239	20	585	2	18	12	6	7	5	2	390	132	12	6	1611;3;1;1;1;14;39;11;1;1;2;1	1;3;5;9;1;4
ENSG00000010671_BTK	X	2079	19	1	0	1	7	1	6	1395	582	0	1		1857
ENSG00000137094_DNAJB5	9	1386	5	20	8	12	33	19	14	940	320	8	12	20;2;1;2;8;1;1;3	1;13;1;2;1;1;1;1;1;1;4;1
ENSG00000147854_UHRF2	9	2406	16	38	18	20	9	2	7	1876	530	18	20	1;1;1;1;1;1;1;2;1;1;5;1;2;1;1;10;1;1	1;1;1;1;1;1;11;1;1;179;1;3;1;1;1;1;1;3;652;2
ENSG00000139914_FITM1	14	876	2	31	19	12	11	5	6	645	231	19	12	1;3;3;2;1;2;12;1;1;1;3;30;1;2;1;1;2;1;1	1;4;1;1;117;1;2;1;1;2;57;1
ENSG00000213886_UBD	6	495	2	23	18	5	7	7	0	381	114	18	5	1000;1;5;1;2;17;1;1;1;1000;1000;909;1000;1;1;5;2;1	1;1;7;90;1
ENSG00000120798_NR2C1	12	1809	13	26	16	10	13	9	4	1329	480	16	10	1;1;1;3;2;1;3;1;1;1;1;22;3;3;1;1	38;7;1;1;2;1;6;1;1;1
ENSG00000188315_C3orf62	3	801	3	20	15	5	7	5	2	566	235	15	5	1;1;6;3;1;2;1;2;1;9;20;326;1;63;165	5;1;2;1;1
ENSG00000040275_SPDL1	5	1815	11	54	38	16	11	6	5	1391	424	38	16	4;1;1;13;14;1;1;1;2;1;2;2;1;6;1;4;3;1;3;26;11;1;1;1;6;1;19;2;1;2;5;6;1;1719;9;1;1;1719	1;1;19;13;1;1;1809;1;2;2;19;40;1;1;2;23
ENSG00000166435_XRRA1	11	2376	17	79	58	21	17	10	7	1657	719	58	21	5;1;1;5;4;2;2;1;1;1;45;62;1;1;9;1;2;1;2;33;25;1;62;3;1;1;4;73;37;1;1;1;5;4;3;6;17;1;1;1;14;1;1;1;1;1;127;1;85;28;1;2;1;1;1;1;1;1	1;4;9;3;1;1;1400;1340;8;1;63;4;1;1;1;1;2;4;1;1;1
ENSG00000204052_LRRC73	6	948	6	18	9	9	5	3	2	730	218	9	9	2;8;47;1;6;1;1;1;1	1;74;12;1;2;1;3;1;2
ENSG00000035720_STAP1	4	885	9	18	9	9	4	1	3	631	254	9	9	1;11;1;1;1;1;1;2;1	1;1;1;1994;631;11;1;1;3
ENSG00000186866_POFUT2	21	1287	9	39	24	15	9	2	7	962	325	24	15	1;1;43;2;8;7;9;4;6;3;1;1;1;2;2;103;1;1;4;3;1;1;1;1	4;5;27;2;1;1;1;4;1;12;1;818;1;2;1
ENSG00000168453_HR	8	3567	18	119	83	36	31	18	13	2570	997	83	36	77;40;2;1;1;1;1;1;392;1;1;2;271;2;4;61;1;1;2;64;3;5;2;1;1;1;1;1;1;42;2;95;1;1;1;7;1;2;2;1;2;1;1;224;762;1;26;63;2;1;1;2;1;3;193;1;4;85;1484;1;1;264;1;1;1;1;1;1;3;1;1;1;7;1;4;1;6;139;1;1;1;14;1	179;1;40;35;1;2;2;8;1;3;39;4;570;3;33;31;19;8;1;42;1;1;35;18;2107;8;1;1;6;1;3;2;1;8;1;149
ENSG00000140961_OSGIN1	16	1680	7	78	42	36	29	12	17	1366	314	42	36	2144;1223;1;401;400;1;1;188;1;11;1;2;1;18;1;1;3;1;1;1;3;2;1;2;1;1;1;1;1;4;7;1;10;3;26;2;1;2;2;88;40;5	194;1;1;1;1;1;3;3;1;1;1;2;2;1;27;52;1;1;2;648;1;1647;1;2;1;4;1;1;1;313;6;1;1;1;15;1
ENSG00000104529_EEF1D	8	2091	8	86	58	28	24	10	14	1497	441	58	28	2;1;1;2;4;1;1;1;2;1;1;1;1;1;6;1;1;1;1;1;1;2;1;1;3;3;19;8;1;1;3;1;1;2;3;1;1;2;2;2;316;2;2;1;162;161;476;31;167;1;1;1;1;1;2;2;7;5	48;1;34;9;1873;4;1;1;1;1;2;33;1;3;1;1;52;1;1;1;1806;63;1;1;67;1;1;3
ENSG00000133739_LRRCC1	8	3096	19	69	55	14	14	11	3	2316	780	55	14	34;1;1;1;1;2;6;2;1;110;1;283;2;3;5;19;1;934;2;1;1;1;1;1;1;1;30;16;8;40;1;169;1;1;1;1;3;1;1;5;13;1;5;13;1;4;1;67;1;1;2;5;1;1;1	1;2;2;1;14;4;1;1;1;1;2;1;2;286
ENSG00000117676_RPS6KA1	1	2232	21	49	20	29	5	1	4	1704	528	20	29	3;4;1;1;3;1;1;1;1;1;806;1;1;3;1;1;1;1;1;1	1;6;1;82;1;1;44;5;8;1;1;1;10;1;1;2;2452;1;1;61;3;4;2;1;4;36;1;1;1
ENSG00000178394_HTR1A	5	1266	1	27	14	13	4	2	2	1016	250	14	13	1;3;1;1;14;1;1;3;1;1;20;28;1;2	6;1;6;1;2;1;127;1;1;12;1;464;1
ENSG00000065057_NTHL1	16	936	6	30	22	8	134	94	40	552	146	22	8	2;2;3;1;1;1;5;1;2;1;1;3;2;26;2;1;1;6;1;2;1;1	3;1;1;1;1;2;1;1
ENSG00000111331_OAS3	12	3261	16	106	74	32	15	7	8	2408	853	74	32	1;1;1687;1;46;34;1;2;4;1;1;1;1;1;26;1;1;2;1;1;1;2;32;1405;3;1;1;4;1;1;20;1;1;59;1;1;1;1;2;2;27;4;10;1;1;1;1;1;1;1;136;1;1;1;1;1;1;1;1;1;1;1;9;1;15;21;1;1;1;5;1;1;1;56	1;1;1071;18;7;1;9;1;1;1;1;1;1;12;3;1;1;789;306;1580;5;3;413;1;1;1;1;1423;5;1;1;3
ENSG00000125780_TGM3	20	2079	13	72	47	25	20	13	7	1568	511	47	25	1289;1;1;2;7;1;1;1;605;1;1;1;560;1;1;1;1;1;1;1;1;8;1;1;1;16;1;3;1;1;1;2;3;2;2;2;50;949;2;1;3;14;3;1;1;1;1	1;7;1;1;5;3;1;1;1;1;1;1;1;9;1;3;2;1;1;5;5;13;57;2;1
ENSG00000177947_ODF3	11	762	6	33	24	9	5	3	2	583	167	24	9	3;1;11;1;1;1;1;1;1;35;1;2;1;3;2;29;1;1;1;16;4;1;207;1	25;2067;1;36;1;1;15;1;9
ENSG00000135424_ITGA7	12	3543	26	103	66	37	16	4	12	2654	889	66	37	2;1;1;1;4;1;1;1;2;1;1;1;13;14;3;6;1;1;1;1;1;2;15;1;1;3;1;2;1;2006;1;1;13;1;1;1;1;1;33;4;1;1;1;1;1;1;1;4;3;1;78;2;8;2;3;3;13;1;5;2;8;1;32;1;1;1	12;2;1;1;1;1;10;85;68;222;2;11;1;1;1;2;2;1;1;1;49;3;3;2;8;3;1;175;2;6;2;1;4;4;2;59;6
ENSG00000161905_ALOX15	17	1986	14	59	39	20	11	2	9	1509	477	39	20	1;181;4;1;4;3;63;1;3;25;1;1;1;11;3;1;1;3;2;1;1;1;7;1;2;1;43;4;2;13;1;3;1;1;2;22;1;1;1	1;1;1;3;184;2;1;1;232;1;1;4;1;93;1;1;1;1;1;1
ENSG00000105642_KCNN1	19	1629	9	38	17	21	11	4	7	1348	281	17	21	1;2;1;1;2;1;1;2;1;1;1;3;12;1;1;2;27	48;1;1;47;42;2;4;3;1;3;1;6;2;1;1;10;1;1;14;2;1
ENSG00000167106_FAM102A	9	1152	11	38	19	19	45	26	19	931	215	19	19	1;1;1;3;1;14;1;1;1;4;1;1;1;1;1;1;1;2;1	1502;34;1;1;6;1;1;2;94;4;1;7;2;1;13;2;1;1;1
ENSG00000168631_DPCR1	6	4179	3	116	83	33	22	16	6	800	313	83	33	6;1;1;1;1;1;1;90;1;174;3;1;2;2;3;2;1;2;1;4;1;3;1;1;9;1;1;1;243;1;1;1;4;111;2;2;9;1;3;2;2;1;17;10;1;1;1111;243;1;1;1;1;25;1;9;1;1;1;90;1;5;111;4;6;1;1;1;2;1;2;2;1;20;924;243;1;192;1;1;5;1;1;909	1;1;2;199;5;85;5;1;1;1;2;1;1;94;1;1;1;1;2;193;1;4;5;1;1177;1;4;2;1;1;6;7;1
ENSG00000158545_ZC3H18	16	2931	18	78	43	35	11	4	7	1866	798	43	35	1;1;6;1;2;1;7;41;1;1;2;1;2;1;1;1;5;1;1;1;1;1;1;1;1;1;2;1;3;1;2;1;1;2;2;2;4;5;1;2;2;5;12	1;14;1;1;6;687;3;1;10;12;2;1;1;5;1;1;1;1;1;1;1;1;4;1;1;1;2;5;1;1;2;41;1;3;2
ENSG00000101247_NDUFAF5	20	1035	11	31	16	15	5	1	4	746	289	16	15	1;1;2;1;2;3;2;1;2;17;1;1;1;1;2;2	3;1;1;7;2;1;264;1;3;53;5;2;228;1;9
ENSG00000204138_PHACTR4	1	2136	13	50	35	15	11	5	6	1492	644	35	15	1;79;1;1;2;1;1;1;4;1;2;1;1;2;1;1127;1;1;1;1;1;2;1;3;1;1;3;18;2;2;1;1;1;1;1	2;32;38;1;1;466;258;3;1;516;12;1;1;1;1
ENSG00000005007_UPF1	19	3387	23	56	10	46	13	6	7	2321	505	10	46	1;2;1;2;2;1;1;1;4;25	1;193;7;3;2;1;6;1;43;1;3;2;2;2;6;15;12;1;3;10;1;1;1;1;208;7;1;1;1;8;5;1;28;1;1;1;2;2;1;44;1;2;1;1;1;3
ENSG00000206150_RNASE13	14	468	1	19	14	5	3	0	3	345	123	14	5	1;1;1;1;1;83;3;1;1;1;1;1;6;94	1;1;2;2;1791
ENSG00000180628_PCGF5	10	768	9	14	4	10	3	2	1	610	158	4	10	1;1;1;1	13;1;1;1;1;2;1;1;1;1
ENSG00000166401_SERPINB8	18	1122	6	37	25	12	7	3	4	809	313	25	12	1;10;1;1632;40;1;1;1;1;2;1;1;8;1;3;1;1;2;1;2;1;889;1;2261;1	88;2;1;1082;1;1;3;1;219;3;2;1
ENSG00000109674_NEIL3	4	1815	10	63	48	15	19	14	5	1280	535	48	15	1;1;530;2;1;1;3;1;1;360;1;27;1;1;1;1;123;1;1;4;1;457;3;1;1;242;2;1;14;1;2;1;1959;1;1;14;1;1690;3;1;6;341;1;8;24;1;1;7	848;5;3;1;1;10;1;728;11;1;1;1958;1;2291;1
ENSG00000143384_MCL1	1	1050	3	12	8	4	8	2	6	768	278	8	4	2;16;1;1;1;1;1;3	36;1;107;2
ENSG00000105507_CABP5	19	519	6	17	13	4	3	1	2	350	106	13	4	1;1;1113;1;79;1;1;334;1;186;1;3;1	1;710;330;34
ENSG00000112659_CUL9	6	7551	40	192	123	69	40	18	22	5382	2170	123	69	3;1;2;1;1;1;11;1;5;2;1;3;52;19;1;1;15;1;1;1;1;1;4;21;1;1;1;20;11;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;8;2;1;1;1;3;3;1;7;1;1;5;1;1;2;1;1;3;1;2;1;6;6;1;2;1;10;1;10;1;2;1;1;1;6;9;21;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;2;1;1;1;2000;4;2;1;1;48;1;1;13;1;3;2;2;15;1;1;1	1;1;248;1;1;1;23;2;1768;1;15;187;10;1;1;18;1;2;3;1;1;2;1;2;18;2;1;1;1;44;1;1;1;1;2;42;19;38;1;3;1;1;1;21;1;105;43;2;12;1;4;1;5;3;1;2;1;2;1038;3;1;1;1;18;1;2;1;1;2
ENSG00000143878_RHOB	2	588	1	13	4	9	3	0	3	525	63	4	9	1;1;3;1	52;4;24;1;6;1;1;1;1
ENSG00000115204_MPV17	2	573	7	15	9	6	12	7	5	385	143	9	6	2;2;1;1;1;1;2;1;1	1;2;1;3;1;17
ENSG00000182552_RWDD4	4	564	8	12	5	7	4	0	4	427	137	5	7	2;1110;1;1;1	1;2;688;1;2;5;399
ENSG00000099821_POLRMT	19	3690	21	157	85	72	49	25	24	2627	502	85	72	1;16;2;29;2;3;1;1;1;1;2;1;1;1;1;2;51;1;1;1;1;44;7;1;1;1;1;2;1;677;1;4;1;1;30;32;1901;16;1;5;1;1;1;1;1;1;1;1;1;1;214;2;2;2;50;38;24;1;7;35;1;1;4;2;1;1;1;1;71;1;1;4;2;1;1;34;1;1;1;18;2;1;654;2;9	1;455;8;1;3;2;2;7;5;3;7;1;1891;1;3;1;8;1;2;1;16;1;50;63;1;70;1;2;1109;4;1026;78;2;15;1;1;1;3;5;3;2;1903;1;1;1;5;1;4;25;1;1;3;2;1;1;1;6;1;1;1;1;1;2;103;15;21;492;1;90;1;1;1
ENSG00000110108_TMEM109	11	729	3	19	10	9	4	2	2	515	214	10	9	3;27;1;2;1;1;6;1;48;1	1;1;1;1;221;1;15;1298;1
ENSG00000110107_PRPF19	11	1512	16	19	8	11	7	0	7	1075	437	8	11	3;1;1;1;1;1;1;1	1;3;1;12;1;1;222;1545;2;10;1
ENSG00000102241_HTATSF1	X	2265	9	31	17	14	17	10	7	994	359	17	14	2;1;1;1;1;1;4;2;96;1;1;1;4;1;1;7;1	1;1;1;5;1;1;2;1;1;513;1;15;326;1
ENSG00000135218_CD36	7	1416	12	58	45	13	5	3	2	1034	382	45	13	1;22;2;1;10;2;1;1;1;1;3;1;1;2;1;1;1;1;1;1;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;1;8;2;1	1;1;1;1;2;44;1;1;56;8;1;1;6
ENSG00000172339_ALG14	1	648	4	21	10	11	10	5	5	470	175	10	11	1;1;1;1;1;1;1;1;1;9	1;1;5;1;1;1;1;1;13;19;1
ENSG00000159346_ADIPOR1	1	1125	7	16	3	13	5	0	5	801	324	3	13	1;1;1	14;1;10;3;1;1;1;1;1;1;1;79;3
ENSG00000085117_CD82	11	801	8	31	12	19	137	110	27	686	106	12	19	1;1;1;1;1;1;1;1;1;2068;2;1	1;5;2;55;6;1231;1143;49;1;2;5;2;1;21;1;23;66;850;1
ENSG00000116161_CACYBP	1	684	6	10	6	4	0	0	0	482	202	6	4	58;1;1;1;1;1	1;80;1;1
ENSG00000168314_MOBP	3	618	2	7	4	3	27	20	7	203	40	4	3	2;2;1;1	11;2;1
ENSG00000101421_CHMP4B	20	672	5	11	4	7	2	1	1	485	181	4	7	1;1;1;1	13;1;2;1;46;1;1
ENSG00000182584_ACTL10	20	735	1	24	16	8	3	0	3	615	120	16	8	1;1;1;1;1;2;1;18;1;2;1;1;1;4;1;1	3;1;1;1;1;1;23;1
